creator,stimuli,filepath,gpt_caption
children,I,../data/children/stimuli_I/1001.png,Two masked figures and large grid-patterned object or structure. [4]
children,I,../data/children/stimuli_I/1002.png,Abstract figure with multiple arms and a simple face. [4]
children,I,../data/children/stimuli_I/1003.png,"Pig with large eyes and snout under an arch, surrounded by flowers. [4]"
children,I,../data/children/stimuli_I/1004.png,Hard to interpret. [2]
children,I,../data/children/stimuli_I/1005.png,Hard to interpret. [1]
children,I,../data/children/stimuli_I/1006.png,Hard to interpret. [1]
children,I,../data/children/stimuli_I/1007.png,A bee skep with multiple bee-like elements inside and around it. [4]
children,I,../data/children/stimuli_I/1008.png,Hard to interpret. [1]
children,I,../data/children/stimuli_I/1009.png,Hard to interpret [3].
children,I,../data/children/stimuli_I/1010.png,"Face with a crown, big eyes, and wavy lines. [3]"
children,I,../data/children/stimuli_I/1011.png,Hard to interpret. [2]
children,I,../data/children/stimuli_I/1012.png,Simple architectural drawing with a dome and a rectangular base. [4]
children,I,../data/children/stimuli_I/1013.png,Hard to interpret. [1]
children,I,../data/children/stimuli_I/1014.png,"Character with butterfly on shirt, sun in sky. [4]"
children,I,../data/children/stimuli_I/1015.png,Geometric shapes and abstract lines arranged in a symmetrical pattern. [3]
children,I,../data/children/stimuli_I/1016.png,Building with rounded windows and a zigzag antenna on top. [4]
children,I,../data/children/stimuli_I/1017.png,Rectangle with an arched top and protruding line from the bottom. [3]
children,I,../data/children/stimuli_I/1018.png,Cartoonish blob with eyes and jagged mouth in the center. [5]
children,I,../data/children/stimuli_I/1019.png,Popsicle on a stick with wavy lines on top. [4]
children,I,../data/children/stimuli_I/1020.png,An arch-shaped structure with a star-like pattern inside. [4]
children,I,../data/children/stimuli_I/1022.png,Hard to interpret. [2]
children,I,../data/children/stimuli_I/1023.png,Hard to interpret. [2]
children,I,../data/children/stimuli_I/1024.png,Sketch of a building with windows and a rounded top shape. [4]
children,I,../data/children/stimuli_I/1025.png,"A stick figure woman standing beside a large, simple house. [5]"
children,I,../data/children/stimuli_I/1026.png,Stick figure holding a flag inside an arched frame. [4]
children,I,../data/children/stimuli_I/1027.png,Smiling popsicle with eyes and musical notes around it. [5]
children,I,../data/children/stimuli_I/1028.png,Simple humanoid figure with arms raised and a smiling face. [5]
children,I,../data/children/stimuli_I/1029.png,Simple outline of a symmetrical object with rounded top. [3]
children,I,../data/children/stimuli_I/2001.png,Hard to interpret. [1]
children,I,../data/children/stimuli_I/2002.png,Cartoon character with rectangle body and round head holding a spoon. [4]
children,I,../data/children/stimuli_I/2003.png,Hard to interpret. [2]
children,I,../data/children/stimuli_I/2004.png,Simple geometric shape with two triangular protrusions and intersecting lines. [4]
children,I,../data/children/stimuli_I/2009.png,"Simple arched outline, possibly representing a door or window. [4]"
children,I,../data/children/stimuli_I/2010.png,Hard to interpret. [2]
children,I,../data/children/stimuli_I/2011.png,"Cartoon character with a smiling face, triangle head, and simple limbs. [5]"
children,I,../data/children/stimuli_I/2012.png,Child-like drawing of a happy figure with a pointed hat and outstretched arms. [5]
children,I,../data/children/stimuli_I/2013.png,"Smiling figure with arms, legs, and a bird with egg inside. [3]"
children,I,../data/children/stimuli_I/2014.png,Cartoonish figure with large eyes and outstretched arms and legs. [4]
children,I,../data/children/stimuli_I/2015.png,Abstract shapes resembling a turtle with a geometric pattern. [4]
children,I,../data/children/stimuli_I/2016.png,Hard to interpret [2].
children,I,../data/children/stimuli_I/2017.png,Building with flag and stick figure with long neck. [4]
children,I,../data/children/stimuli_I/2018.png,Hard to interpret. [1]
children,I,../data/children/stimuli_I/3001.png,Hard to interpret. [2]
children,I,../data/children/stimuli_I/3002.png,Simple stick figure with a smiling face and dark clothing. [4]
children,I,../data/children/stimuli_I/3005.png,"Drawing of a house with windows, door, and chimney. [5]"
children,I,../data/children/stimuli_I/3007.png,"House, sun, tree, and possibly a cloud or path. [4]"
children,I,../data/children/stimuli_I/3008.png,"Simple house with pointed roof, two windows, and a door. [4]"
children,I,../data/children/stimuli_I/3009.png,Lock with a keyhole on a rectangular base. [5]
children,I,../data/children/stimuli_I/3010.png,Simple house with a rounded roof and three windows. [5]
children,I,../data/children/stimuli_I/3011.png,"Stick figure with large hair, holding square object, standing. [4]"
children,I,../data/children/stimuli_I/3013.png,A person with a hat inside a rounded rectangular frame. [4]
children,I,../data/children/stimuli_I/3016.png,Simple outline of an arch or dome-like structure. [4]
children,I,../data/children/stimuli_I/3017.png,Hard to interpret. [1]
children,I,../data/children/stimuli_I/3018.png,"Simple cartoonish creature, oval head, rectangular body with one spot. [4]"
children,I,../data/children/stimuli_I/3020.png,Abstract human figure with geometric shapes and minimal detail. [4]
children,I,../data/children/stimuli_I/3022.png,Hard to interpret. [2]
children,I,../data/children/stimuli_I/3023.png,Hard to interpret. [2]
children,I,../data/children/stimuli_I/3024.png,"Domed shape with horizontal lines, resembling a folded or textured object. [4]"
children,I,../data/children/stimuli_I/3025.png,Geometric shapes and abstract patterns; possibly a ship and archway. [3]
children,I,../data/children/stimuli_I/3026.png,Cartoonish dog face with spots inside a five-pointed star shape. [4]
children,I,../data/children/stimuli_I/3028.png,"Ice cream cone with a face, extending a hand. [5]"
children,I,../data/children/stimuli_I/4001.png,A box with a heart and a textured dome on top. [4]
children,I,../data/children/stimuli_I/4002.png,House with a round roof and a central oval shape beneath. [3]
children,I,../data/children/stimuli_I/4003.png,"Abstract figure with raised arms, straight legs, and oval head. [4]"
children,I,../data/children/stimuli_I/4004.png,Hard to interpret. [3]
children,I,../data/children/stimuli_I/4005.png,House with a rounded roof and three windows. [4]
children,I,../data/children/stimuli_I/4006.png,Hard to interpret. [3]
children,I,../data/children/stimuli_I/4007.png,"Smiling figure with wings, resembling a child’s drawing of an angel. [4]"
children,I,../data/children/stimuli_I/4008.png,One simple house with windows drawn beside another outline. [5]
children,I,../data/children/stimuli_I/4009.png,Hard to interpret. [1]
children,I,../data/children/stimuli_I/4010.png,"Spotted oval shape with lines extending outward, possible abstract representation. [3]"
children,I,../data/children/stimuli_I/4011.png,"Abstract face with multiple eyes and a smile, on a rectangular base. [4]"
children,I,../data/children/stimuli_I/4012.png,"Simple face with a round head, smiling, with eyes and a topknot. [4]"
children,I,../data/children/stimuli_I/4013.png,Hard to interpret. [2]
children,I,../data/children/stimuli_I/4014.png,Simple face with rectangular eyes and a curved smile. [4]
children,I,../data/children/stimuli_I/4015.png,Beanie hat on top of a rectangular shape. [4]
children,I,../data/children/stimuli_I/4016.png,"Milk bottle with a black cap, labeled ""milk"". [5]"
children,I,../data/children/stimuli_I/4017.png,A cage with a small bird inside. [4]
children,I,../data/children/stimuli_I/4018.png,Hard to interpret. [2]
children,I,../data/children/stimuli_I/4019.png,A simple drawing of a bird with outstretched wings. [5]
children,I,../data/children/stimuli_I/4020.png,"Simple ghost-like figure with arms outstretched, two eyes, and a mouth. [5]"
children,I,../data/children/stimuli_I/4021.png,"Cartoonish animal with ears and wings, standing inside a box. [5]"
children,I,../data/children/stimuli_I/4022.png,Hard to interpret. [2]
children,I,../data/children/stimuli_I/4023.png,Abstract shape with two small oval forms near the center. [3]
children,I,../data/children/stimuli_I/4024.png,"A toilet bowl with a tank, viewed from the front. [5]"
children,I,../data/children/stimuli_I/4025.png,A hand holding a large padlock with a keyhole. [5]
children,I,../data/children/stimuli_I/4026.png,"Abstract creature with circular pattern, round head, and three legs. [5]"
children,I,../data/children/stimuli_I/5001.png,A simple robot with square torso and triangular chest symbol. [5]
children,I,../data/children/stimuli_I/5002.png,"A stick figure with a round head, smiling face, and a striped body. [4]"
children,I,../data/children/stimuli_I/5003.png,"Building with Euro sign and circular top labeled ""Das 064"". [4]"
children,I,../data/children/stimuli_I/5004.png,Simple drawing of a stick figure with a smiling face. [5]
children,I,../data/children/stimuli_I/5009.png,"Penguin-like figure with a beak, flippers, and a tail. [4]"
children,I,../data/children/stimuli_I/5010.png,Salt shaker with some text orientation issue. [4]
children,I,../data/children/stimuli_I/5011.png,Hard to interpret. [1]
children,I,../data/children/stimuli_I/5012.png,Outline of a popsicle stick with missing ice cream shape above. [4]
children,I,../data/children/stimuli_I/5018.png,Hard to interpret. [1]
children,I,../data/children/stimuli_I/5019.png,Simple stick figure with a large round head and smiling face. [4]
children,I,../data/children/stimuli_I/5020.png,Hard to interpret. [2]
children,I,../data/children/stimuli_I/5021.png,Stick figure with a large head and exaggerated eyes. [4]
children,I,../data/children/stimuli_I/5027.png,"Simple face with spiky hair, uneven eyes, and a smile. [4]"
children,I,../data/children/stimuli_I/5028.png,Semi-circle atop a rectangle with a horizontal line and dot below. [4]
children,I,../data/children/stimuli_I/5029.png,Building with a Euro symbol on top. [5]
children,I,../data/children/stimuli_I/6001.png,Drawing of a padlock with illegible text on it. [4]
children,I,../data/children/stimuli_I/6002.png,"Small building with decorative roof and ""Winkel"" written on it. [4]"
children,I,../data/children/stimuli_I/6003.png,A simple drawing of a building with windows and a dome. [4]
children,I,../data/children/stimuli_I/6004.png,A lock and a key drawn simply. [4]
children,I,../data/children/stimuli_I/6005.png,House with chimney emitting swirling smoke. [4]
children,I,../data/children/stimuli_I/6006.png,"Flying house with wings and a central door, abstract interpretation. [4]"
children,I,../data/children/stimuli_I/6007.png,Hard to interpret. [2]
children,I,../data/children/stimuli_I/6008.png,A person standing on a roof with windows and door visible. [5]
children,I,../data/children/stimuli_I/6009.png,Simple drawing of a house with a door and window. [4]
children,I,../data/children/stimuli_I/6010.png,Hard to interpret. [3]
children,I,../data/children/stimuli_I/6011.png,Simple drawing of a house with windows and a door. [5]
children,I,../data/children/stimuli_I/6012.png,Hard to interpret. [4]
children,I,../data/children/stimuli_I/6013.png,Simple outline of a lock shape on a plain background. [5]
children,I,../data/children/stimuli_I/6014.png,A simple house with a chimney and window. [5]
children,I,../data/children/stimuli_I/6015.png,"A smiling figure wearing a coat, with buttons and extended arms. [4]"
children,I,../data/children/stimuli_I/6016.png,"Smiling figure with spiky hair, wearing a shirt with shapes. [4]"
children,I,../data/children/stimuli_I/6017.png,Hard to interpret. [2]
children,I,../data/children/stimuli_I/6018.png,"Building with hearts, crosses, and fish-like symbols, small door at bottom. [4]"
children,I,../data/children/stimuli_I/6019.png,Hard to interpret. [1]
children,I,../data/children/stimuli_I/6020.png,Cross-section of a cylindrical object with lines and a central dot. [4]
children,I,../data/children/stimuli_I/7001.png,"A character with a long arm, words ""super stekker"" and ""extra benef."" [4]"
children,I,../data/children/stimuli_I/7002.png,Hard to interpret. [2]
children,I,../data/children/stimuli_I/7003.png,"Ice cream figure holding cone, wearing ""Random ijs winkel"" shirt, with sparkles around. [5]"
children,I,../data/children/stimuli_I/7004.png,A building with facial features and hair-like lines on top. [5]
children,I,../data/children/stimuli_I/7005.png,Abstract figure with teardrops and clouds; another figure visible in a window. [4]
children,I,../data/children/stimuli_I/7006.png,Ice cream cone with waves on top. [4]
children,I,../data/children/stimuli_I/7007.png,A building with a dome on top and six windows. [5]
children,I,../data/children/stimuli_I/7009.png,"Abstract shape with a rectangle, dark rectangle, and teardrop shape. Hard to interpret. [2]"
children,I,../data/children/stimuli_I/7010.png,"House with roof, wings, and smiling face on legs. [4]"
children,I,../data/children/stimuli_I/7011.png,"A humanoid figure with antennae, facial features, and textured body. [5]"
children,I,../data/children/stimuli_I/7012.png,Simple house with a pointed roof and three circular windows. [4]
children,I,../data/children/stimuli_I/7013.png,"Robot-like figure with a square body, antennae, stick arms, and legs. [5]"
children,I,../data/children/stimuli_I/7014.png,Hard to interpret. [1]
children,I,../data/children/stimuli_I/7015.png,Hard to interpret. [3]
children,I,../data/children/stimuli_I/7016.png,"Cartoon insect with antennae, heart, and butterfly. Abstract scribbles on body. [5]"
children,I,../data/children/stimuli_I/7017.png,Simple house with a window and black roof. [4]
children,I,../data/children/stimuli_I/7018.png,"A smiling figure with a square body, wings, and a long antenna. [5]"
children,I,../data/children/stimuli_I/7019.png,Cartoon cat with a hat and an apron or bib. [4]
children,I,../data/children/stimuli_I/7020.png,"Cute robot with big eyes says ""Hola"" in speech bubble. [5]"
children,I,../data/children/stimuli_I/7021.png,A face with a party hat and branches on its head. [5]
children,I,../data/children/stimuli_I/7023.png,Simple smiling face with a hat on top. [4]
children,I,../data/children/stimuli_I/7024.png,Simple architectural outline resembling a building with a dome structure. [4]
children,I,../data/children/stimuli_I/7025.png,"Smiling creature with wings, box-shaped body, winking eye, and spiky hair. [5]"
children,I,../data/children/stimuli_I/7026.png,A popsicle with heart-shaped decorations on the ice cream. [5]
children,I,../data/children/stimuli_I/7027.png,Popsicle with wavy patterns and writing on top. [4]
children,I,../data/children/stimuli_I/7028.png,A ghost-like figure with eyes and a pointed top. [4]
