creator,stimuli,filepath,gpt_caption
adults,G,../data/adults/stimuli_G/103__3832_9.jpg,Simple humanoid figure with a round head and rectangular body. [4]
adults,G,../data/adults/stimuli_G/110__3846_9.jpg,A person underneath an umbrella with rain falling. [5]
adults,G,../data/adults/stimuli_G/113__3868_9.jpg,Simple face with closed eyes and a rectangular mouth. [4]
adults,G,../data/adults/stimuli_G/138__5325_9.jpg,Hard to interpret. [1]
adults,G,../data/adults/stimuli_G/140__3910_9.jpg,"A simplistic phone booth with ""Phone"" written on it. [4]"
adults,G,../data/adults/stimuli_G/157__3922_9.jpg,Outline resembling a mushroom or umbrella shape. [3]
adults,G,../data/adults/stimuli_G/1621__1233_9.jpg,Boat with pirate flag on ocean at sunset. [5]
adults,G,../data/adults/stimuli_G/1622__7239_9.jpg,Simplified drawing resembling a butterfly or skull with antennae. [3]
adults,G,../data/adults/stimuli_G/1626__1256_9.jpg,A bird-like figure with wings extended and two legs. [4]
adults,G,../data/adults/stimuli_G/1663__1266_9.jpg,Abstract shape resembling a creature with teeth and an eye. [3]
adults,G,../data/adults/stimuli_G/1664__1276_9.jpg,"Smiling person with curly hair, wearing a polka-dot shirt and pants. [5]"
adults,G,../data/adults/stimuli_G/1665__1286_9.jpg,"Two birds standing closely with wings spread, facing each other. [4]"
adults,G,../data/adults/stimuli_G/1666__1295_9.jpg,Simple face with two triangular eyes and a square nose. [4]
adults,G,../data/adults/stimuli_G/1667__1307_9.jpg,Sun shining on beach umbrella and lounge chair. [5]
adults,G,../data/adults/stimuli_G/1675__9725_9.jpg,Stick figure under a rainbow with clouds. [5]
adults,G,../data/adults/stimuli_G/1676__9737_9.jpg,A mushroom with dotted lines above it. [5]
adults,G,../data/adults/stimuli_G/16__3473_9.jpg,Abstract object resembling a bow and arrow. [3]
adults,G,../data/adults/stimuli_G/1740__1329_9.jpg,Mushroom with small spots on the cap. [5]
adults,G,../data/adults/stimuli_G/1741__368_9.jpg,Simplified drawing of a cat with large body and short legs. [4]
adults,G,../data/adults/stimuli_G/1743__1355_9.jpg,"Stick figure under arch, suspended by ropes or wires. [3]"
adults,G,../data/adults/stimuli_G/1744__1365_9.jpg,Hard to interpret. [2]
adults,G,../data/adults/stimuli_G/1748__1375_9.jpg,A large mushroom with a dotted cap on a patch of ground. [5]
adults,G,../data/adults/stimuli_G/1749__1381_9.jpg,Umbrella and a smaller shape resembling another umbrella underneath. [4]
adults,G,../data/adults/stimuli_G/174__3967_9.jpg,Hot air balloon with basket and heat waves. [4]
adults,G,../data/adults/stimuli_G/1750__385_9.jpg,Hard to interpret. [3]
adults,G,../data/adults/stimuli_G/1751__1400_9.jpg,Mushroom with swirly patterns on the cap. [5]
adults,G,../data/adults/stimuli_G/1753__1411_9.jpg,"Mushroom-shaped house with ""Hobbit House"" written, two stick figures beside it. [5]"
adults,G,../data/adults/stimuli_G/1755__1420_9.jpg,"Light bulb emitting rays in a simplified, line drawing. [5]"
adults,G,../data/adults/stimuli_G/180__4001_9.jpg,Mushroom with crosshatched lines on the stem and top. [5]
adults,G,../data/adults/stimuli_G/181__5394_9.jpg,Simple stick figure with a round head and broad torso. [4]
adults,G,../data/adults/stimuli_G/182__5406_9.jpg,Stick figures under an umbrella with letters above them. [4]
adults,G,../data/adults/stimuli_G/183__5418_9.jpg,A mushroom with a spotted cap and a simple stem. [5]
adults,G,../data/adults/stimuli_G/197__5470_9.jpg,"Stick figure with arms and legs, circular head, and a curved line body. [5]"
adults,G,../data/adults/stimuli_G/203__4073_9.jpg,Rainbow over clouds and a geometric object below. [3]
adults,G,../data/adults/stimuli_G/21__3508_9.jpg,A simple drawing of a mushroom with spots on the cap. [5]
adults,G,../data/adults/stimuli_G/223__4143_9.jpg,"Bird with wings spread, perched on a grid-like structure. [4]"
adults,G,../data/adults/stimuli_G/242__4167_9.jpg,Simple human figure with big head and stick-like limbs. [3]
adults,G,../data/adults/stimuli_G/247__4179_9.jpg,Simple drawing of an animal face with round ears. [4]
adults,G,../data/adults/stimuli_G/259__4203_9.jpg,Abstract grid pattern with a square inside a circle. [3]
adults,G,../data/adults/stimuli_G/263__7333_9.jpg,Two stick figures under an umbrella with raindrops falling around. [5]
adults,G,../data/adults/stimuli_G/265__4227_9.jpg,"Person with wings and a bag, standing upright. [5]"
adults,G,../data/adults/stimuli_G/269__4249_9.jpg,Hard to interpret. [2]
adults,G,../data/adults/stimuli_G/26__3553_9.jpg,Hard to interpret. [2]
adults,G,../data/adults/stimuli_G/275__4260_9.jpg,Simple outline of a mushroom or umbrella with details. [4]
adults,G,../data/adults/stimuli_G/27__3565_9.jpg,A crab with claws and legs in a simplistic drawing style. [5]
adults,G,../data/adults/stimuli_G/285__4284_9.jpg,Abstract drawing of a face with exaggerated features and prominent outlines. [4]
adults,G,../data/adults/stimuli_G/287__5661_9.jpg,"A simple table with a large, dome-shaped umbrella. [5]"
adults,G,../data/adults/stimuli_G/298__4324_9.jpg,A large mushroom with smaller ones and rain. [5]
adults,G,../data/adults/stimuli_G/301__5703_9.jpg,"A figure with a round head, face, and stick body holding something. [3]"
adults,G,../data/adults/stimuli_G/302__4347_9.jpg,A simple drawing of a face with eyes and a smile. [5]
adults,G,../data/adults/stimuli_G/315__5727_9.jpg,Abstract drawing of an umbrella with water and raindrops. [4]
adults,G,../data/adults/stimuli_G/324__5744_9.jpg,"Simple face with eyes, eyebrows, nose, and a smile. [4]"
adults,G,../data/adults/stimuli_G/32__3577_9.jpg,Simple silhouette outline of a mushroom shape. [5]
adults,G,../data/adults/stimuli_G/340__5785_9.jpg,Circle and square shapes with smaller squares at each corner. [3]
adults,G,../data/adults/stimuli_G/346__5809_9.jpg,A mushroom with large spots on top of a curved object. [4]
adults,G,../data/adults/stimuli_G/356__5842_9.jpg,Stylized face with spiky hair and rectangular mouth. [4]
adults,G,../data/adults/stimuli_G/375__5945_9.jpg,Umbrella with arrow pointing upwards under it. [4]
adults,G,../data/adults/stimuli_G/392__6012_9.jpg,Simple drawing of a mushroom with a round cap and stem. [5]
adults,G,../data/adults/stimuli_G/415__7553_9.jpg,Smiling face with tears and squiggly lines above. [3]
adults,G,../data/adults/stimuli_G/427__6116_9.jpg,Simple outline of a mushroom with cap and stem. [4]
adults,G,../data/adults/stimuli_G/434__7586_9.jpg,"Umbrella on a stand with droplets above, resembling rain. [4]"
adults,G,../data/adults/stimuli_G/445__7631_9.jpg,Simple line drawing of a stick figure under an arch. [4]
adults,G,../data/adults/stimuli_G/44__3661_9.jpg,"Person wearing a large hat with text ""identify yourself"" written beside. [4]"
