creator,stimuli,filepath,gpt_caption
children,R,../data/children/stimuli_R/1001.png,Two ninja-like figures near a house with a window and door. [4]
children,R,../data/children/stimuli_R/1002.png,A house with a person wearing a mask nearby. [4]
children,R,../data/children/stimuli_R/1003.png,Hard to interpret. [3]
children,R,../data/children/stimuli_R/1004.png,Simple house with door and chimney in a line drawing. [5]
children,R,../data/children/stimuli_R/1005.png,Person sitting near a house with a series of circles above. [3]
children,R,../data/children/stimuli_R/1006.png,Abstract sketch featuring overlapping lines within a roughly pyramid-shaped outline. [3]
children,R,../data/children/stimuli_R/1007.png,Person in a box or structure with vertical lines above. [3]
children,R,../data/children/stimuli_R/1008.png,House on fire with visible windows and flames on roof. [4]
children,R,../data/children/stimuli_R/1009.png,Simple house shape with a tree inside and short lines outside. [4]
children,R,../data/children/stimuli_R/1010.png,House with a window and person or object inside. [3]
children,R,../data/children/stimuli_R/1011.png,Hard to interpret. [2]
children,R,../data/children/stimuli_R/1012.png,Simple drawing of a house with two windows and a door. [5]
children,R,../data/children/stimuli_R/1013.png,Hard to interpret. [1]
children,R,../data/children/stimuli_R/1014.png,Hard to interpret. [2]
children,R,../data/children/stimuli_R/1015.png,Figure resembling a bird with large wings and a human face. [4]
children,R,../data/children/stimuli_R/1016.png,Shape filled with overlapping leaf-like patterns inside. [4]
children,R,../data/children/stimuli_R/1017.png,House-like structure with a pointed roof and an entrance. [4]
children,R,../data/children/stimuli_R/1018.png,Abstract shape with vertical scribbles inside geometric outline. [4]
children,R,../data/children/stimuli_R/1019.png,Simple house outline with abstract shapes inside. [4]
children,R,../data/children/stimuli_R/1020.png,Abstract shape with grid pattern and triangular bottom. [3]
children,R,../data/children/stimuli_R/1022.png,A shield shape with lines and abstract patterns inside. [3]
children,R,../data/children/stimuli_R/1023.png,A simple house with a triangular roof and sun above. [5]
children,R,../data/children/stimuli_R/1024.png,"A house with a slanted roof and windows, and a wavy line. [4]"
children,R,../data/children/stimuli_R/1025.png,"Rocket, planet, and stars in space scene. [5]"
children,R,../data/children/stimuli_R/1026.png,Stick figures near a house with a triangle roof. [4]
children,R,../data/children/stimuli_R/1027.png,Rocket with stars and a planet in space. [5]
children,R,../data/children/stimuli_R/1028.png,Simple rocket with three windows and a flame on top. [4]
children,R,../data/children/stimuli_R/1029.png,Simple geometric shape resembling a pointed shield. [3]
children,R,../data/children/stimuli_R/2001.png,Hard to interpret. [2]
children,R,../data/children/stimuli_R/2002.png,"Abstract shape with two circles and protruding lines, possibly a face. [2]"
children,R,../data/children/stimuli_R/2003.png,Lion's head inside a shield-like shape with geometric patterns. [4]
children,R,../data/children/stimuli_R/2004.png,Abstract geometric shapes resembling a stylized face or mask. [3]
children,R,../data/children/stimuli_R/2009.png,Hard to interpret. [3]
children,R,../data/children/stimuli_R/2010.png,Simple drawing of a house with a slanted roof and one window. [4]
children,R,../data/children/stimuli_R/2011.png,Simple geometric shape with a short line extending downward. [3]
children,R,../data/children/stimuli_R/2012.png,Hard to interpret. [1]
children,R,../data/children/stimuli_R/2013.png,"Smiling triangle-headed figure with arms and legs, plus a smaller figure inside. [4]"
children,R,../data/children/stimuli_R/2014.png,"A stick figure with spiky hair and large eyes, smiling. [5]"
children,R,../data/children/stimuli_R/2015.png,Hard to interpret. [2]
children,R,../data/children/stimuli_R/2016.png,Abstract geometric shape with circular patterns and a dark area at the bottom. [3]
children,R,../data/children/stimuli_R/2017.png,Hard to interpret. [2]
