creator,stimuli,filepath,gpt_caption
AI_prompt2,I,../data/AI/prompt_2/stimuli_I/Dalle01.png,A padlock with a video camera attached on top. [4]
AI_prompt2,I,../data/AI/prompt_2/stimuli_I/Dalle02.png,"Padlock with a plant design inside, lines and shapes around. [4]"
AI_prompt2,I,../data/AI/prompt_2/stimuli_I/Dalle03.png,"Bucket with a spout on a stand, decorated with patterns. [4]"
AI_prompt2,I,../data/AI/prompt_2/stimuli_I/Dalle04.png,Abstract representation of a lock within a square border. [3]
AI_prompt2,I,../data/AI/prompt_2/stimuli_I/Dalle05.png,"Stick figure using a tool, connected to a box, with a coiled cable. [4]"
AI_prompt2,I,../data/AI/prompt_2/stimuli_I/Dalle06.png,Hand placed over a square object within a circle outline. [4]
AI_prompt2,I,../data/AI/prompt_2/stimuli_I/Dalle07.png,Abstract face with a plant and two cups below. [4]
AI_prompt2,I,../data/AI/prompt_2/stimuli_I/Dalle08.png,Bag design with detailed side view and a small cartoon character. [4]
AI_prompt2,I,../data/AI/prompt_2/stimuli_I/Dalle09.png,"Apple under a dome, possibly on a stand or platform. [4]"
AI_prompt2,I,../data/AI/prompt_2/stimuli_I/Dalle10.png,"Teapot with a handle and spout, next to a small, simple ball. [5]"
AI_prompt2,I,../data/AI/prompt_2/stimuli_I/Dalle11.png,Abstract shape with a circular element inside a larger form. [3]
AI_prompt2,I,../data/AI/prompt_2/stimuli_I/Dalle12.png,Bags and a container with rocks and fish-like objects inside. [4]
AI_prompt2,I,../data/AI/prompt_2/stimuli_I/Dalle13.png,Padlock illustration with a rectangular body and shackle. [5]
AI_prompt2,I,../data/AI/prompt_2/stimuli_I/Dalle14.png,"Two apples with leaves, one inside a container next to dots. [5]"
AI_prompt2,I,../data/AI/prompt_2/stimuli_I/Dalle15.png,"Bottle, box with handle, and a ball on a shelf. [5]"
AI_prompt2,I,../data/AI/prompt_2/stimuli_I/Dalle16.png,One bag inside another bag with a looped handle. [4]
AI_prompt2,I,../data/AI/prompt_2/stimuli_I/Dalle17.png,A simple line drawing of a lock and keyhole shape. [4]
AI_prompt2,I,../data/AI/prompt_2/stimuli_I/Dalle18.png,A simple line drawing of a handbag with two handles. [4]
AI_prompt2,I,../data/AI/prompt_2/stimuli_I/Dalle19.png,Line drawing of a handbag with visible handles and a central pocket. [4]
AI_prompt2,I,../data/AI/prompt_2/stimuli_I/Dalle20.png,A bag with plants and a drink with straw. [4]
AI_prompt2,I,../data/AI/prompt_2/stimuli_I/Dalle21.png,A simple drawing of a handbag with two handles. [5]
AI_prompt2,I,../data/AI/prompt_2/stimuli_I/Dalle22.png,"A bucket hanging inside a simple, stylized well or structure. [4]"
AI_prompt2,I,../data/AI/prompt_2/stimuli_I/Dalle23.png,Hard to interpret. [1]
AI_prompt2,I,../data/AI/prompt_2/stimuli_I/Dalle24.png,"Abstract geometric shapes with arches, a circle, and straight lines. [4]"
AI_prompt2,I,../data/AI/prompt_2/stimuli_I/Dalle25.png,Drawing of a handbag with a large rectangular pocket. [5]
AI_prompt2,I,../data/AI/prompt_2/stimuli_I/Dalle26.png,Smiling square object with a handle and legs on a grid. [4]
AI_prompt2,I,../data/AI/prompt_2/stimuli_I/Dalle27.png,Hard to interpret. [2]
AI_prompt2,I,../data/AI/prompt_2/stimuli_I/Dalle28.png,Hot air balloon with ropes and basket in outline drawing. [4]
AI_prompt2,I,../data/AI/prompt_2/stimuli_I/Dalle29.png,Hard to interpret. [2]
AI_prompt2,I,../data/AI/prompt_2/stimuli_I/Dalle30.png,Circular object with line and dots on a rectangular base with diagonal lines. [3]
AI_prompt2,I,../data/AI/prompt_2/stimuli_I/Dalle31.png,A rectangular handbag with vertical stripes and a rounded handle. [4]
AI_prompt2,I,../data/AI/prompt_2/stimuli_I/Dalle32.png,"Umbrella with raindrops falling around it; some are inside, others outside. [4]"
AI_prompt2,I,../data/AI/prompt_2/stimuli_I/Dalle33.png,A shopping bag and a cupcake with frosting. [5]
AI_prompt2,I,../data/AI/prompt_2/stimuli_I/Dalle34.png,"Person with a book, sitting with legs stretched out. [4]"
AI_prompt2,I,../data/AI/prompt_2/stimuli_I/Dalle35.png,Street lamp post with a trash can and curved pole. [5]
AI_prompt2,I,../data/AI/prompt_2/stimuli_I/Dalle36.png,"Handbag with a clasp and long strap, abstract design elements. [4]"
AI_prompt2,I,../data/AI/prompt_2/stimuli_I/Dalle37.png,Minimalist outline of a shopping bag with handle. [5]
AI_prompt2,I,../data/AI/prompt_2/stimuli_I/Dalle38.png,"A box, possibly with a handle, featuring a central oval shape. [4]"
AI_prompt2,I,../data/AI/prompt_2/stimuli_I/Dalle39.png,Hands near a birdcage or dome-like structure. [3]
AI_prompt2,I,../data/AI/prompt_2/stimuli_I/Dalle40.png,"Lightbulb with hand inside, surrounded by stylized lines. [5]"
AI_prompt2,I,../data/AI/prompt_2/stimuli_I/Dalle41.png,A padlock with an inserted key shown in a simple drawing. [5]
AI_prompt2,I,../data/AI/prompt_2/stimuli_I/Dalle42.png,A handbag with vertical stripes and two handles. [5]
AI_prompt2,I,../data/AI/prompt_2/stimuli_I/Dalle43.png,A lantern with a geometric dome and vertical bars. [5]
AI_prompt2,I,../data/AI/prompt_2/stimuli_I/Dalle44.png,Abstract lines and shapes resembling a teapot or kettle. [4]
AI_prompt2,I,../data/AI/prompt_2/stimuli_I/Dalle45.png,Line drawing of a camera with overlapping shapes. [4]
AI_prompt2,I,../data/AI/prompt_2/stimuli_I/Dalle46.png,"Structural design with vase, circular object, and columns. [4]"
AI_prompt2,I,../data/AI/prompt_2/stimuli_I/Dalle47.png,"Tote bag with handles and open top, minimal empty design. [5]"
AI_prompt2,I,../data/AI/prompt_2/stimuli_I/Dalle48.png,Containers and shapes possibly representing bottles and boxes of personal care products. [4]
AI_prompt2,I,../data/AI/prompt_2/stimuli_I/Dalle49.png,Basket with a handle and a rectangular base. [4]
AI_prompt2,I,../data/AI/prompt_2/stimuli_I/Dalle50.png,Object resembling a sundae in a cup and an arrow below. [4]
