creator,stimuli,image,filepath,blip_caption
AI_prompt3,R,Dalle01.png,../data/AI/prompt_3/stimuli_R/Dalle01.png,there is a drawing of a man with a box on his head
AI_prompt3,R,Dalle02.png,../data/AI/prompt_3/stimuli_R/Dalle02.png,a drawing of a man with a hat and a tie holding a kite
AI_prompt3,R,Dalle03.png,../data/AI/prompt_3/stimuli_R/Dalle03.png,a drawing of a man sitting on a toilet with a cat on top
AI_prompt3,R,Dalle04.png,../data/AI/prompt_3/stimuli_R/Dalle04.png,a drawing of a man with a box on his head
AI_prompt3,R,Dalle05.png,../data/AI/prompt_3/stimuli_R/Dalle05.png,a drawing of a man holding a kite in his hands
AI_prompt3,R,Dalle06.png,../data/AI/prompt_3/stimuli_R/Dalle06.png,drawing of a man with a tie and a paper bag
AI_prompt3,R,Dalle07.png,../data/AI/prompt_3/stimuli_R/Dalle07.png,a drawing of two kites with faces and a box on the bottom
AI_prompt3,R,Dalle08.png,../data/AI/prompt_3/stimuli_R/Dalle08.png,a drawing of a person with a hand on a pole above their head
AI_prompt3,R,Dalle09.png,../data/AI/prompt_3/stimuli_R/Dalle09.png,a black and white image of a robot with a face
AI_prompt3,R,Dalle10.png,../data/AI/prompt_3/stimuli_R/Dalle10.png,drawing of a man with a knife and fork in his hand
AI_prompt3,R,Dalle11.png,../data/AI/prompt_3/stimuli_R/Dalle11.png,a cartoon character is running with a shield in his hand
AI_prompt3,R,Dalle12.png,../data/AI/prompt_3/stimuli_R/Dalle12.png,a drawing of a person holding a picture of a person
AI_prompt3,R,Dalle13.png,../data/AI/prompt_3/stimuli_R/Dalle13.png,there is a drawing of a man sitting on a chair
AI_prompt3,R,Dalle14.png,../data/AI/prompt_3/stimuli_R/Dalle14.png,a drawing of a stick figure holding a barbell in his hands
AI_prompt3,R,Dalle15.png,../data/AI/prompt_3/stimuli_R/Dalle15.png,a drawing of a bird with a heart on its head
AI_prompt3,R,Dalle16.png,../data/AI/prompt_3/stimuli_R/Dalle16.png,cartoon drawing of a man with a hat on his head
AI_prompt3,R,Dalle17.png,../data/AI/prompt_3/stimuli_R/Dalle17.png,there is a metal stand with a glass top and a metal base
AI_prompt3,R,Dalle18.png,../data/AI/prompt_3/stimuli_R/Dalle18.png,a drawing of a man with a beard and a face mask
AI_prompt3,R,Dalle19.png,../data/AI/prompt_3/stimuli_R/Dalle19.png,a drawing of a man standing on a stool with a knife in his hand
AI_prompt3,R,Dalle20.png,../data/AI/prompt_3/stimuli_R/Dalle20.png,a drawing of a man standing in a bathtub with a towel on his head
AI_prompt3,R,Dalle21.png,../data/AI/prompt_3/stimuli_R/Dalle21.png,a close up of a drawing of a person with a kite
AI_prompt3,R,Dalle22.png,../data/AI/prompt_3/stimuli_R/Dalle22.png,a drawing of a face with a cross and a fish on it
AI_prompt3,R,Dalle23.png,../data/AI/prompt_3/stimuli_R/Dalle23.png,there are many black and white pictures of a group of people
AI_prompt3,R,Dalle24.png,../data/AI/prompt_3/stimuli_R/Dalle24.png,a drawing of a man with a hat and a tie
AI_prompt3,R,Dalle25.png,../data/AI/prompt_3/stimuli_R/Dalle25.png,a drawing of two people standing in front of a door
AI_prompt3,R,Dalle26.png,../data/AI/prompt_3/stimuli_R/Dalle26.png,a drawing of a man with a hat and a tie on his head
AI_prompt3,R,Dalle27.png,../data/AI/prompt_3/stimuli_R/Dalle27.png,a drawing of a group of people doing different poses
AI_prompt3,R,Dalle28.png,../data/AI/prompt_3/stimuli_R/Dalle28.png,a drawing of a man with a tie and a suit on
AI_prompt3,R,Dalle29.png,../data/AI/prompt_3/stimuli_R/Dalle29.png,a drawing of a basketball hoop with a basketball on it
AI_prompt3,R,Dalle30.png,../data/AI/prompt_3/stimuli_R/Dalle30.png,a drawing of a cartoon character with a tie around his neck
AI_prompt3,R,Dalle31.png,../data/AI/prompt_3/stimuli_R/Dalle31.png,a close up of a drawing of a person with a triangle
AI_prompt3,R,Dalle32.png,../data/AI/prompt_3/stimuli_R/Dalle32.png,a black and white drawing of a cat standing on a mop
AI_prompt3,R,Dalle33.png,../data/AI/prompt_3/stimuli_R/Dalle33.png,a drawing of a man sitting on a toilet with his legs crossed
AI_prompt3,R,Dalle34.png,../data/AI/prompt_3/stimuli_R/Dalle34.png,a drawing of a glass of wine with a handle and a rope
AI_prompt3,R,Dalle35.png,../data/AI/prompt_3/stimuli_R/Dalle35.png,a drawing of a man with a striped shirt on
AI_prompt3,R,Dalle36.png,../data/AI/prompt_3/stimuli_R/Dalle36.png,a drawing of three people on a pole with one holding a pair of scissors
AI_prompt3,R,Dalle37.png,../data/AI/prompt_3/stimuli_R/Dalle37.png,a drawing of a dog with a hat on its head
AI_prompt3,R,Dalle38.png,../data/AI/prompt_3/stimuli_R/Dalle38.png,a drawing of a woman with a suitcase and a bag
AI_prompt3,R,Dalle39.png,../data/AI/prompt_3/stimuli_R/Dalle39.png,a black and white drawing of a person holding a mirror
AI_prompt3,R,Dalle40.png,../data/AI/prompt_3/stimuli_R/Dalle40.png,a drawing of a man with a hat and a tie
AI_prompt3,R,Dalle41.png,../data/AI/prompt_3/stimuli_R/Dalle41.png,there is a drawing of a suit hanger with a pair of scissors
AI_prompt3,R,Dalle42.png,../data/AI/prompt_3/stimuli_R/Dalle42.png,a drawing of a pair of scissors on a stand
AI_prompt3,R,Dalle43.png,../data/AI/prompt_3/stimuli_R/Dalle43.png,a black and white drawing of a horse with a sword
AI_prompt3,R,Dalle44.png,../data/AI/prompt_3/stimuli_R/Dalle44.png,a drawing of a man with a hat and glasses on
AI_prompt3,R,Dalle45.png,../data/AI/prompt_3/stimuli_R/Dalle45.png,a drawing of a man with a hat on his head
AI_prompt3,R,Dalle46.png,../data/AI/prompt_3/stimuli_R/Dalle46.png,a drawing of a man with a knife and a knife holder
AI_prompt3,R,Dalle47.png,../data/AI/prompt_3/stimuli_R/Dalle47.png,a drawing of a chair with a geometric design on it
AI_prompt3,R,Dalle48.png,../data/AI/prompt_3/stimuli_R/Dalle48.png,a drawing of a picture of a person sitting on a chair
AI_prompt3,R,Dalle49.png,../data/AI/prompt_3/stimuli_R/Dalle49.png,coloring pages robot with a box and a wrench
AI_prompt3,R,Dalle50.png,../data/AI/prompt_3/stimuli_R/Dalle50.png,a drawing of a man with a sword and a shield
