pid,creator,age,stimuli,inverted,filename,filepath,blip_caption,blip_caption_correct,gpt_caption,gpt_caption_correct,gpt_caption_confidence,originality_audra,originality_ocs,percentile_ocs,category1,category2,category3,confidence,creativity,creativity2,used_mask,line_thickness,ink_density,ink_fraction_inside_mask,number_of_components,number_of_lines,dist_from_base_caption_gtelarge,dist_from_base_caption_gte,dist_from_base_caption_stella,dist_from_base_shape_dino,dist_from_base_shape_clip,text_10NN_gtelarge,image_10NN_dino,image_10NN_clip,inverse_category_frequency,inverse_cluster_frequency_gtelarge
0,AI_prompt1,,G,FALSE,Dalle01.png,../data/AI/prompt_1/stimuli_G/Dalle01.png,a drawing of a letter d with a bird on it,,"Abstract shapes including circles, lines, and patterns",,3,0.575919270515442,0.72,93.0,abstract doodle/hard to interpret,,,2,0,1,0,5.15179465452295,14.021875,0.348837209302326,1,30,0.1297845167050040,0.2661265512146510,0.3598323869655240,0.743760672942845,0.2779574959280680,0.060826384,0.39818206,0.17368004,2.380952380952380,4.107142857142860
0,AI_prompt1,,G,FALSE,Dalle02.png,../data/AI/prompt_1/stimuli_G/Dalle02.png,a drawing of a light bulb with three candles in it,,Stylized simple face with minimalistic expression inside a circle,,4,0.381227999925613,0.58,69.0,abstract doodle/hard to interpret,,,2,0,2,1,4.13593942531511,4.681875,0.801255863216826,1,13,0.160068016044132,0.3160604426896820,0.4370102882385250,0.3714787202423570,0.2245510395899430,0.11536392,0.23142824,0.11722304,2.380952380952380,3.7096774193548400
0,AI_prompt1,,G,FALSE,Dalle03.png,../data/AI/prompt_1/stimuli_G/Dalle03.png,a drawing of a man in a cage with a cat,,Hard to interpret,,2,0.659325838088989,0.82,98.0,sculpture,,,1,2,3,0.5,4.17152644071707,18.07,0.708503865393361,1,82,0.2484450936317440,0.4582867895535690,0.6282052584947720,0.7636778334861460,0.3765953910960680,0.0,0.36665583,0.22650445,150.0,3.1944444444444400
0,AI_prompt1,,G,FALSE,Dalle04.png,../data/AI/prompt_1/stimuli_G/Dalle04.png,drawing of a tent with a canopy and a pole,,Hard to interpret,,2,0.467133462429047,0.52,51.0,abstract doodle/hard to interpret,,,2,0,2,0.5,4.57001472680776,6.906875,0.806335182890697,1,23,0.2484450936317440,0.4582867895535690,0.6282052584947720,0.6933402620490090,0.3163001404359840,0.0,0.39018187,0.1663706,2.380952380952380,3.1944444444444400
0,AI_prompt1,,G,FALSE,Dalle05.png,../data/AI/prompt_1/stimuli_G/Dalle05.png,a drawing of a no entry sign with a pencil in it,,"Letter ""N"" inside concentric circles",,5,0.567538201808929,0.58,68.0,letter,,,1,1,1,0.5,4.25550700562432,15.600625,0.609510675247727,1,48,0.1799120306968690,0.350407502079456,0.4989081025123600,0.5238542472365620,0.3265922113548680,0.13269182,0.31480575,0.18675146,150.0,4.107142857142860
0,AI_prompt1,,G,FALSE,Dalle06.png,../data/AI/prompt_1/stimuli_G/Dalle06.png,a drawing of a bullet with a bullet inside of it,,A large pen surrounded by a circle and various small items below it,,4,0.557417809963226,0.86,99.0,abstract doodle/hard to interpret,,,1,0,1,0.5,4.35724549484221,8.729375,0.344523582037697,3,35,0.1540558842387250,0.3444233742012590,0.4304823618839750,0.4258354219082500,0.3160240896261830,0.1419114,0.3434643,0.2039254,2.380952380952380,6.388888888888890
0,AI_prompt1,,G,FALSE,Dalle07.png,../data/AI/prompt_1/stimuli_G/Dalle07.png,drawing of a flower with a stem in a vase with a flower in it,,Geometric shapes and lines resembling abstract flowers and structures,,4,0.552774310112,0.57,65.0,abstract doodle/hard to interpret,,,2,0,1,1,4.270243312449,10.395,0.481751306016561,1,35,0.1233881564869630,0.3031919390914420,0.3823287487030030,0.6923705941902090,0.2379966164223510,0.08156148,0.3777922,0.12004654,2.380952380952380,4.107142857142860
0,AI_prompt1,,G,FALSE,Dalle08.png,../data/AI/prompt_1/stimuli_G/Dalle08.png,a drawing of a woman sitting in a chair in a room,,Hard to interpret,,2,0.602136373519898,0.83,98.0,abstract doodle/hard to interpret,,,2,1,1,0,4.795010573416,16.865,0.567999631438312,2,47,0.2484450936317440,0.4582867895535690,0.6282052584947720,0.7481918873121280,0.3104583123937290,0.0,0.37994856,0.16382928,2.380952380952380,3.1944444444444400
0,AI_prompt1,,G,FALSE,Dalle09.png,../data/AI/prompt_1/stimuli_G/Dalle09.png,a drawing of a piano with a piano stand inside of it,,Hard to interpret,,2,0.505880236625671,0.67,87.0,abstract doodle/hard to interpret,,,2,0,1,0,4.63319551070721,11.70125,0.60129616770823,3,31,0.2484450936317440,0.4582867895535690,0.6282052584947720,0.5141686130566980,0.3125920439002900,0.0,0.37658438,0.17867622,2.380952380952380,3.1944444444444400
0,AI_prompt1,,G,FALSE,Dalle10.png,../data/AI/prompt_1/stimuli_G/Dalle10.png,a close up of a door with a curved arch over it,,A door under a semi-circular structure or archway,,4,0.40571528673172,0.38,18.0,door,curtain,,2,2,2,1,4.0377780697542,8.400625,0.857939508506616,2,37,0.2373192906379700,0.3782227264775460,0.5173280393280990,0.6366276234056390,0.2813626025600010,0.13940826,0.4269546,0.15576632,12.5,6.052631578947370
0,AI_prompt1,,G,FALSE,Dalle11.png,../data/AI/prompt_1/stimuli_G/Dalle11.png,a drawing of a pair of scissors in a circle,,Hard to interpret,,2,0.48027166724205,0.62,76.0,abstract doodle/hard to interpret,,,2,0,1,0.5,3.9725333602212,8.485625,0.546668378482475,2,24,0.2484450936317440,0.4582867895535690,0.6282052584947720,0.5662704620671880,0.3229940105097570,0.0,0.35826498,0.24166909,2.380952380952380,3.1944444444444400
0,AI_prompt1,,G,FALSE,Dalle12.png,../data/AI/prompt_1/stimuli_G/Dalle12.png,a drawing of a city with a clock tower and a clock tower,,Abstract city skyline with various tall buildings and an arch,,4,0.675316452980042,0.82,98.0,city,skiscapers,,2,3,3,0.5,5.1240374956189,14.990625,0.58711165377832,1,42,0.1857889294624330,0.4141937566572780,0.4775606082415930,0.7544552418689650,0.3513347108945000,0.13604194,0.4446457,0.16817597,75.0,6.052631578947370
0,AI_prompt1,,G,FALSE,Dalle13.png,../data/AI/prompt_1/stimuli_G/Dalle13.png,a drawing of a circle with a piano keyboard inside of it,,Circular maze with paths; has geometric shapes and abstract features,,4,0.613464117050171,0.75,96.0,maze,,,1,1,1,0,4.00535056115988,16.885,0.502777416135052,1,66,0.1796754598617550,0.4104611697930440,0.4787465178592950,0.5769453207776330,0.28811721245321,0.10172875,0.42072916,0.16267318,150.0,4.107142857142860
0,AI_prompt1,,G,FALSE,Dalle14.png,../data/AI/prompt_1/stimuli_G/Dalle14.png,a drawing of a man sitting at a table with a banana and a bowl,,"Circle divided with mountain, moon, horizontal lines, and abstract shapes",,4,0.554944157600403,0.74,95.0,moon,mounatin,,1,1,1,0.5,4.06645613149945,8.4475,0.692662189196913,1,21,0.1411941647529600,0.2970444946600340,0.3807133436203000,0.5087778595157580,0.2693228315524030,0.102215484,0.3928179,0.14039284,150.0,3.7096774193548400
