creator,stimuli,image,filepath,blip_caption
adults,G,103__3832_9.jpg,../data/adults/stimuli_G/103__3832_9.jpg,a drawing of a man with his arms outstretched out
adults,G,110__3846_9.jpg,../data/adults/stimuli_G/110__3846_9.jpg,a drawing of a person holding an umbrella with the word ' m ' drawn on it
adults,G,113__3868_9.jpg,../data/adults/stimuli_G/113__3868_9.jpg,a drawing of a face with a smile drawn on it
adults,G,138__5325_9.jpg,../data/adults/stimuli_G/138__5325_9.jpg,a drawing of a mushroom head with a tree on it
adults,G,140__3910_9.jpg,../data/adults/stimuli_G/140__3910_9.jpg,a drawing of a sign that says pick up on a white background
adults,G,157__3922_9.jpg,../data/adults/stimuli_G/157__3922_9.jpg,a drawing of a mushroom shaped object with a long stem
adults,G,1621__1233_9.jpg,../data/adults/stimuli_G/1621__1233_9.jpg,a drawing of a boat with a skull and crossbone on it
adults,G,1622__7239_9.jpg,../data/adults/stimuli_G/1622__7239_9.jpg,a drawing of a butterfly with a long tail and a long tail
adults,G,1626__1256_9.jpg,../data/adults/stimuli_G/1626__1256_9.jpg,a close up of a drawing of a bird on a wire
adults,G,1663__1266_9.jpg,../data/adults/stimuli_G/1663__1266_9.jpg,a drawing of a bird with a tie on its head
adults,G,1664__1276_9.jpg,../data/adults/stimuli_G/1664__1276_9.jpg,a drawing of a person with a white shirt and pants
adults,G,1665__1286_9.jpg,../data/adults/stimuli_G/1665__1286_9.jpg,a drawing of two flamingos standing next to each other
adults,G,1666__1295_9.jpg,../data/adults/stimuli_G/1666__1295_9.jpg,a drawing of a letter g with a face made out of a piece of paper
adults,G,1667__1307_9.jpg,../data/adults/stimuli_G/1667__1307_9.jpg,drawing of a beach umbrella and a bottle of water
adults,G,1675__9725_9.jpg,../data/adults/stimuli_G/1675__9725_9.jpg,a drawing of a rainbow and a person holding a umbrella
adults,G,1676__9737_9.jpg,../data/adults/stimuli_G/1676__9737_9.jpg,drawing of a man holding an umbrella with a white background
adults,G,16__3473_9.jpg,../data/adults/stimuli_G/16__3473_9.jpg,a drawing of a bat and a pencil on a white background
adults,G,1740__1329_9.jpg,../data/adults/stimuli_G/1740__1329_9.jpg,drawing of a mushroom with letters coming out of it
adults,G,1741__368_9.jpg,../data/adults/stimuli_G/1741__368_9.jpg,a drawing of a cat with a face and legs
adults,G,1743__1355_9.jpg,../data/adults/stimuli_G/1743__1355_9.jpg,a drawing of a drawing of a house with a sun in the background
adults,G,1744__1365_9.jpg,../data/adults/stimuli_G/1744__1365_9.jpg,a drawing of a pair of elephants standing next to each other
adults,G,1748__1375_9.jpg,../data/adults/stimuli_G/1748__1375_9.jpg,a drawing of a mushroom with a face drawn on it
adults,G,1749__1381_9.jpg,../data/adults/stimuli_G/1749__1381_9.jpg,a drawing of a umbrella with a bird on it
adults,G,174__3967_9.jpg,../data/adults/stimuli_G/174__3967_9.jpg,a drawing of a microwave with an umbrella over it
adults,G,1750__385_9.jpg,../data/adults/stimuli_G/1750__385_9.jpg,a drawing of a pole with a pole in the middle of it
adults,G,1751__1400_9.jpg,../data/adults/stimuli_G/1751__1400_9.jpg,a drawing of a mushroom with a face drawn on it
adults,G,1753__1411_9.jpg,../data/adults/stimuli_G/1753__1411_9.jpg,a drawing of a mushroom house with a chinese writing underneath it
adults,G,1755__1420_9.jpg,../data/adults/stimuli_G/1755__1420_9.jpg,a drawing of a light bulb with a wire coming out of it
adults,G,180__4001_9.jpg,../data/adults/stimuli_G/180__4001_9.jpg,a drawing of a mushroom with a net on it
adults,G,181__5394_9.jpg,../data/adults/stimuli_G/181__5394_9.jpg,a drawing of a man with a hat on his head
adults,G,182__5406_9.jpg,../data/adults/stimuli_G/182__5406_9.jpg,drawing of a man holding an umbrella with the word ' s name
adults,G,183__5418_9.jpg,../data/adults/stimuli_G/183__5418_9.jpg,a drawing of a mushroom with a face on it
adults,G,197__5470_9.jpg,../data/adults/stimuli_G/197__5470_9.jpg,a drawing of a man with a hat on his head
adults,G,203__4073_9.jpg,../data/adults/stimuli_G/203__4073_9.jpg,a drawing of a rainbow and clouds with a person smiling
adults,G,21__3508_9.jpg,../data/adults/stimuli_G/21__3508_9.jpg,a drawing of a mushroom with a black outline on a white background
adults,G,223__4143_9.jpg,../data/adults/stimuli_G/223__4143_9.jpg,a drawing of a bird standing on a wire fence
adults,G,242__4167_9.jpg,../data/adults/stimuli_G/242__4167_9.jpg,a drawing of a person holding a sign with a face on it
adults,G,247__4179_9.jpg,../data/adults/stimuli_G/247__4179_9.jpg,a close up of a drawing of a bear ' s face with a nose
adults,G,259__4203_9.jpg,../data/adults/stimuli_G/259__4203_9.jpg,a drawing of a circle with a square in the middle
adults,G,263__7333_9.jpg,../data/adults/stimuli_G/263__7333_9.jpg,drawing of a man and woman under an umbrella in the rain
adults,G,265__4227_9.jpg,../data/adults/stimuli_G/265__4227_9.jpg,a drawing of a woman with a long hair and a dress
adults,G,269__4249_9.jpg,../data/adults/stimuli_G/269__4249_9.jpg,drawing of a man with a dog and a cat in a room
adults,G,26__3553_9.jpg,../data/adults/stimuli_G/26__3553_9.jpg,a drawing of a basketball court with a basketball hoop and a basketball hoop
adults,G,275__4260_9.jpg,../data/adults/stimuli_G/275__4260_9.jpg,a drawing of a man holding an umbrella in the rain
adults,G,27__3565_9.jpg,../data/adults/stimuli_G/27__3565_9.jpg,a black and white drawing of a crab with a box in its paws
adults,G,285__4284_9.jpg,../data/adults/stimuli_G/285__4284_9.jpg,a drawing of a man ' s face with a frown on his face
adults,G,287__5661_9.jpg,../data/adults/stimuli_G/287__5661_9.jpg,a drawing of a table with a umbrella on top of it
adults,G,298__4324_9.jpg,../data/adults/stimuli_G/298__4324_9.jpg,a drawing of a person holding an umbrella in the rain
adults,G,301__5703_9.jpg,../data/adults/stimuli_G/301__5703_9.jpg,a drawing of a person holding a slice of pizza in their hand
adults,G,302__4347_9.jpg,../data/adults/stimuli_G/302__4347_9.jpg,a drawing of a smiley face with a black outline on a white background
adults,G,315__5727_9.jpg,../data/adults/stimuli_G/315__5727_9.jpg,a drawing of a umbrella with rain coming out of it
adults,G,324__5744_9.jpg,../data/adults/stimuli_G/324__5744_9.jpg,a close up of a drawing of a face with a frown
adults,G,32__3577_9.jpg,../data/adults/stimuli_G/32__3577_9.jpg,a drawing of a mushroom with a long stem on a white background
adults,G,340__5785_9.jpg,../data/adults/stimuli_G/340__5785_9.jpg,a drawing of a house with a square in the middle
adults,G,346__5809_9.jpg,../data/adults/stimuli_G/346__5809_9.jpg,a drawing of a mushroom on a table with a person sitting on it
adults,G,356__5842_9.jpg,../data/adults/stimuli_G/356__5842_9.jpg,a black and white drawing of a man with a bird on his head
adults,G,375__5945_9.jpg,../data/adults/stimuli_G/375__5945_9.jpg,drawing of a black and white umbrella with a long arrow pointing to it
adults,G,392__6012_9.jpg,../data/adults/stimuli_G/392__6012_9.jpg,a drawing of a black and white umbrella with a white background
adults,G,415__7553_9.jpg,../data/adults/stimuli_G/415__7553_9.jpg,a drawing of a face with two faces drawn on it
adults,G,427__6116_9.jpg,../data/adults/stimuli_G/427__6116_9.jpg,drawing of a man holding an umbrella with a smile on his face
adults,G,434__7586_9.jpg,../data/adults/stimuli_G/434__7586_9.jpg,a drawing of a person sitting on a chair under a umbrella
adults,G,445__7631_9.jpg,../data/adults/stimuli_G/445__7631_9.jpg,a drawing of a basketball court with a ball on the court
adults,G,44__3661_9.jpg,../data/adults/stimuli_G/44__3661_9.jpg,a drawing of a mushroom with a hat on it
adults,G,453__6216_9.jpg,../data/adults/stimuli_G/453__6216_9.jpg,a drawing of a mushroom with a face on it
adults,G,454__7725_9.jpg,../data/adults/stimuli_G/454__7725_9.jpg,a drawing of a man in a lab coat and boots
adults,G,456__7749_9.jpg,../data/adults/stimuli_G/456__7749_9.jpg,a drawing of a man with a headband on his head
adults,G,458__7773_9.jpg,../data/adults/stimuli_G/458__7773_9.jpg,drawing of a beach scene with a sun and a beach chair
adults,G,464__7832_9.jpg,../data/adults/stimuli_G/464__7832_9.jpg,a drawing of a man with a haircut and a beard
adults,G,466__7856_9.jpg,../data/adults/stimuli_G/466__7856_9.jpg,a drawing of a ladder leading to the sun over a body of water
adults,G,46__3684_9.jpg,../data/adults/stimuli_G/46__3684_9.jpg,cartoon drawing of a person holding a knife and a umbrella
adults,G,481__7947_9.jpg,../data/adults/stimuli_G/481__7947_9.jpg,cartoon stick man with umbrella and stick man with stick man holding umbrella
adults,G,482__7959_9.jpg,../data/adults/stimuli_G/482__7959_9.jpg,a drawing of a person holding an umbrella in the rain
adults,G,484__7983_9.jpg,../data/adults/stimuli_G/484__7983_9.jpg,a drawing of a mushroom with eyes and a nose
adults,G,485__7995_9.jpg,../data/adults/stimuli_G/485__7995_9.jpg,a drawing of a basketball hoop with a basketball ball on it
adults,G,486__8006_9.jpg,../data/adults/stimuli_G/486__8006_9.jpg,a drawing of a person with a hat and a dress
adults,G,487__8018_9.jpg,../data/adults/stimuli_G/487__8018_9.jpg,a drawing of a man holding a umbrella over his head
adults,G,489__8039_9.jpg,../data/adults/stimuli_G/489__8039_9.jpg,a drawing of a bird standing on a post with a bird sitting on top of it
adults,G,492__8051_9.jpg,../data/adults/stimuli_G/492__8051_9.jpg,a drawing of a mushroom with a face drawn on it
adults,G,496__8093_9.jpg,../data/adults/stimuli_G/496__8093_9.jpg,a close up of a drawing of a person holding an umbrella
adults,G,498__8105_9.jpg,../data/adults/stimuli_G/498__8105_9.jpg,a drawing of a cartoon elephant with a bow on its head
adults,G,502__8129_9.jpg,../data/adults/stimuli_G/502__8129_9.jpg,a drawing of a mushroom with eyes and a nose
adults,G,511__8150_9.jpg,../data/adults/stimuli_G/511__8150_9.jpg,a drawing of a brain with arrows pointing to the left
adults,G,513__8161_9.jpg,../data/adults/stimuli_G/513__8161_9.jpg,a drawing of a person holding an umbrella with the word ot written on it
adults,G,517__8197_9.jpg,../data/adults/stimuli_G/517__8197_9.jpg,a drawing of a black and white umbrella with a black handle
adults,G,520__8220_9.jpg,../data/adults/stimuli_G/520__8220_9.jpg,a drawing of a person holding an umbrella with the word go
adults,G,521__8232_9.jpg,../data/adults/stimuli_G/521__8232_9.jpg,a drawing of a couple holding hands under an umbrella
