creator,stimuli,image,filepath,blip_caption
children,I,1001.png,../data/children/stimuli_I/1001.png,a drawing of a person with a hat and a face mask
children,I,1002.png,../data/children/stimuli_I/1002.png,drawing of a cartoon character with a toothbrush and a tooth
children,I,1003.png,../data/children/stimuli_I/1003.png,drawing of a cow with a head in a cage
children,I,1004.png,../data/children/stimuli_I/1004.png,drawing of a face with a hole in the middle of it
children,I,1005.png,../data/children/stimuli_I/1005.png,drawing of a child ' s drawing of a man with a cell phone
children,I,1006.png,../data/children/stimuli_I/1006.png,a drawing of a house with a door and a window
children,I,1007.png,../data/children/stimuli_I/1007.png,there is a drawing of a bird cage with a bird inside
children,I,1008.png,../data/children/stimuli_I/1008.png,drawing of a bird cage with a bird inside of it
children,I,1009.png,../data/children/stimuli_I/1009.png,drawing of a man with a spider on his back and a dog on his back
children,I,1010.png,../data/children/stimuli_I/1010.png,drawing of a bird with a hat on its head
children,I,1011.png,../data/children/stimuli_I/1011.png,drawing of a person with a hat and a scarf on
children,I,1012.png,../data/children/stimuli_I/1012.png,drawing of a door with a window and a window sill
children,I,1013.png,../data/children/stimuli_I/1013.png,drawing of a ghost with a black dot on it
children,I,1014.png,../data/children/stimuli_I/1014.png,drawing of a person with a kite and a star in the sky
children,I,1015.png,../data/children/stimuli_I/1015.png,drawing of a man with a geometric face and a triangle
children,I,1016.png,../data/children/stimuli_I/1016.png,there is a drawing of a clock tower with a cross on it
children,I,1017.png,../data/children/stimuli_I/1017.png,drawing of a leaf with a long stem and a long blade
children,I,1018.png,../data/children/stimuli_I/1018.png,a drawing of a ghost with a face drawn on it
children,I,1019.png,../data/children/stimuli_I/1019.png,drawing of a person holding a umbrella with a drawing of a person on it
children,I,1020.png,../data/children/stimuli_I/1020.png,drawing of a bag with a hole in it on a white surface
children,I,1022.png,../data/children/stimuli_I/1022.png,drawing of a person holding a cell phone in their hand
children,I,1023.png,../data/children/stimuli_I/1023.png,drawing of a man with a beard and a tie on
children,I,1024.png,../data/children/stimuli_I/1024.png,drawing of a tombstone with a cross on it
children,I,1025.png,../data/children/stimuli_I/1025.png,drawing of a woman and a house with a woman standing in front of it
children,I,1026.png,../data/children/stimuli_I/1026.png,there is a drawing of a man holding a book in his hand
children,I,1027.png,../data/children/stimuli_I/1027.png,drawing of a cartoon figure with a face and a name on it
children,I,1028.png,../data/children/stimuli_I/1028.png,a drawing of a ghost with arms outstretched and eyes closed
children,I,1029.png,../data/children/stimuli_I/1029.png,drawing of a tombstone with a long neck and a long neck
children,I,2001.png,../data/children/stimuli_I/2001.png,drawing of a person with a hat and a hood on
children,I,2002.png,../data/children/stimuli_I/2002.png,drawing of a person with a sign in their hand
children,I,2003.png,../data/children/stimuli_I/2003.png,there is a drawing of a bug on a white sheet
children,I,2004.png,../data/children/stimuli_I/2004.png,drawing of a paper bag with a paper horse on it
children,I,2009.png,../data/children/stimuli_I/2009.png,there is a drawing of a door with a window on it
children,I,2010.png,../data/children/stimuli_I/2010.png,a drawing of a face with a nose and a nose ring
children,I,2011.png,../data/children/stimuli_I/2011.png,drawing of a cartoon character with a face and arms
children,I,2012.png,../data/children/stimuli_I/2012.png,drawing of a man with a hat and a cane in his hand
children,I,2013.png,../data/children/stimuli_I/2013.png,a drawing of a paper doll with a face and arms
children,I,2014.png,../data/children/stimuli_I/2014.png,drawing of a cartoon character with a surprised expression
children,I,2015.png,../data/children/stimuli_I/2015.png,there is a drawing of a butterfly on a white sheet
children,I,2016.png,../data/children/stimuli_I/2016.png,drawing of a person holding a cell phone in their hand
children,I,2017.png,../data/children/stimuli_I/2017.png,drawing of a man with a tie and a bird on a stick
children,I,2018.png,../data/children/stimuli_I/2018.png,there is a drawing of a door with a window on it
children,I,3001.png,../data/children/stimuli_I/3001.png,drawing of a man with a beard and a top hat
children,I,3002.png,../data/children/stimuli_I/3002.png,drawing of a man with a beard and a shirt on
children,I,3005.png,../data/children/stimuli_I/3005.png,drawing of a house with a flag and a window
children,I,3007.png,../data/children/stimuli_I/3007.png,drawing of a drawing of a person with a cat on a chair
children,I,3008.png,../data/children/stimuli_I/3008.png,drawing of a house with a chimney and a door
children,I,3009.png,../data/children/stimuli_I/3009.png,a drawing of a padlock with a face drawn on it
children,I,3010.png,../data/children/stimuli_I/3010.png,a drawing of a house with a window and a door
children,I,3011.png,../data/children/stimuli_I/3011.png,drawing of a man with a beard and a tie holding a piece of paper
children,I,3013.png,../data/children/stimuli_I/3013.png,drawing of a man with a beard and a mustache on a white background
children,I,3016.png,../data/children/stimuli_I/3016.png,drawing of a small grave with a cross on it
children,I,3017.png,../data/children/stimuli_I/3017.png,drawing of a tombstone with a cross on it
children,I,3018.png,../data/children/stimuli_I/3018.png,there is a drawing of a ghost face on a white sheet
children,I,3020.png,../data/children/stimuli_I/3020.png,drawing of a person with a hat and a dress on
children,I,3022.png,../data/children/stimuli_I/3022.png,drawing of a fish with a long tail and a long tail
children,I,3023.png,../data/children/stimuli_I/3023.png,drawing of a door with a window and a window sill
children,I,3024.png,../data/children/stimuli_I/3024.png,drawing of a house with a window and a door in the middle
children,I,3025.png,../data/children/stimuli_I/3025.png,drawing of a castle with a tower and a clock on it
children,I,3026.png,../data/children/stimuli_I/3026.png,there is a drawing of a cat with a kite in the background
children,I,3028.png,../data/children/stimuli_I/3028.png,drawing of a person with a hand out and a finger in the air
children,I,4001.png,../data/children/stimuli_I/4001.png,drawing of a house with a heart drawn on it
children,I,4002.png,../data/children/stimuli_I/4002.png,drawing of a house with a heart in the middle of it
children,I,4003.png,../data/children/stimuli_I/4003.png,drawing of a man with a hat and a tie holding a cell phone
children,I,4004.png,../data/children/stimuli_I/4004.png,drawing of a bird in a cage with a bird inside
children,I,4005.png,../data/children/stimuli_I/4005.png,drawing of a house with a window and a door on a white background
children,I,4006.png,../data/children/stimuli_I/4006.png,there is a drawing of a clock with a bunch of wires on it
children,I,4007.png,../data/children/stimuli_I/4007.png,a drawing of a person with a angel on a white background
children,I,4008.png,../data/children/stimuli_I/4008.png,a drawing of a house and a house with a cat on the roof
children,I,4009.png,../data/children/stimuli_I/4009.png,drawing of a tall tower with a clock on top of it
children,I,4010.png,../data/children/stimuli_I/4010.png,drawing of a cat with a paw and a paw print on it
children,I,4011.png,../data/children/stimuli_I/4011.png,drawing of a cartoon character with a glass of water
children,I,4012.png,../data/children/stimuli_I/4012.png,drawing of a man with a beard and a hat on
children,I,4013.png,../data/children/stimuli_I/4013.png,drawing of a person holding a piece of paper with a hat on it
children,I,4014.png,../data/children/stimuli_I/4014.png,drawing of a face with a smile drawn on it
children,I,4015.png,../data/children/stimuli_I/4015.png,drawing of a person in a hat with a bag on his back
children,I,4016.png,../data/children/stimuli_I/4016.png,a drawing of a bottle of milk with a cap on top
children,I,4017.png,../data/children/stimuli_I/4017.png,a drawing of a bird in a cage on a white background
children,I,4018.png,../data/children/stimuli_I/4018.png,drawing of a cat with a spider on its head
children,I,4019.png,../data/children/stimuli_I/4019.png,drawing of a bird with a long beak and a long tail
children,I,4020.png,../data/children/stimuli_I/4020.png,a drawing of a ghost with a big nose and a big tail
children,I,4021.png,../data/children/stimuli_I/4021.png,drawing of a small white bird with a long tail and a long nose
children,I,4022.png,../data/children/stimuli_I/4022.png,drawing of a backpack with a handle and a handlebar
children,I,4023.png,../data/children/stimuli_I/4023.png,drawing of a face with eyes in a pocket
children,I,4024.png,../data/children/stimuli_I/4024.png,drawing of a toilet with a seat and a tank on it
children,I,4025.png,../data/children/stimuli_I/4025.png,a drawing of a padlock with a number on it
children,I,4026.png,../data/children/stimuli_I/4026.png,drawing of a person with a hoodie on standing in front of a white background
children,I,5001.png,../data/children/stimuli_I/5001.png,drawing of a robot with a letter a on it
children,I,5002.png,../data/children/stimuli_I/5002.png,a drawing of a person with a toothbrush in their mouth
children,I,5003.png,../data/children/stimuli_I/5003.png,there is a drawing of a man holding a sign with a picture of a man
children,I,5004.png,../data/children/stimuli_I/5004.png,drawing of a man with a smile on his face and arms
children,I,5009.png,../data/children/stimuli_I/5009.png,drawing of a person in a coat and hat with a knife
children,I,5010.png,../data/children/stimuli_I/5010.png,drawing of a bottle with a cat on it sitting on a table
children,I,5011.png,../data/children/stimuli_I/5011.png,drawing of a toilet with a sign on the tank
children,I,5012.png,../data/children/stimuli_I/5012.png,drawing of a popsicle with a long handle on a white background
children,I,5018.png,../data/children/stimuli_I/5018.png,drawing of a bug in a bag with a handle
children,I,5019.png,../data/children/stimuli_I/5019.png,drawing of a dog with a collar and a tie on
children,I,5020.png,../data/children/stimuli_I/5020.png,there is a drawing of a person standing in a doorway
children,I,5021.png,../data/children/stimuli_I/5021.png,drawing of a man with a face drawn on it
children,I,5027.png,../data/children/stimuli_I/5027.png,drawing of a man with a beard and a face with a toothbrush
children,I,5028.png,../data/children/stimuli_I/5028.png,there is a drawing of a bag with a handle on it
children,I,5029.png,../data/children/stimuli_I/5029.png,drawing of a person with a face and a head in a suit
children,I,6001.png,../data/children/stimuli_I/6001.png,a drawing of a padlock with the word prami written on it
children,I,6002.png,../data/children/stimuli_I/6002.png,drawing of a building with a bird on top of it
children,I,6003.png,../data/children/stimuli_I/6003.png,drawing of a house with a clock on the top of it
children,I,6004.png,../data/children/stimuli_I/6004.png,drawing of a padlock with a key and a small piece of paper
children,I,6005.png,../data/children/stimuli_I/6005.png,drawing of a house with a chimney and a chimney top
children,I,6006.png,../data/children/stimuli_I/6006.png,drawing of a jet plane with a jet engine and a jet engine
children,I,6007.png,../data/children/stimuli_I/6007.png,drawing of a person with a hat and a shirt on
children,I,6008.png,../data/children/stimuli_I/6008.png,drawing of a man sitting in a chair with a box in his hand
children,I,6009.png,../data/children/stimuli_I/6009.png,drawing of a man with a hat and a tie on
children,I,6010.png,../data/children/stimuli_I/6010.png,there is a drawing of a bird on a window sill
children,I,6011.png,../data/children/stimuli_I/6011.png,a drawing of a house with a face drawn on it
children,I,6012.png,../data/children/stimuli_I/6012.png,drawing of a bird perched on a piece of paper with stars
children,I,6013.png,../data/children/stimuli_I/6013.png,there is a drawing of a door with a window on it
children,I,6014.png,../data/children/stimuli_I/6014.png,drawing of a house with a chimney and a chimney top
children,I,6015.png,../data/children/stimuli_I/6015.png,drawing of a person in a snow suit with arms outstretched
children,I,6016.png,../data/children/stimuli_I/6016.png,drawing of a man with a tie and a shirt on
children,I,6017.png,../data/children/stimuli_I/6017.png,there is a drawing of a door with a face on it
children,I,6018.png,../data/children/stimuli_I/6018.png,drawing of a small church with a heart on the top
children,I,6019.png,../data/children/stimuli_I/6019.png,drawing of a bird with a beak and a piece of paper in its beak
children,I,6020.png,../data/children/stimuli_I/6020.png,drawing of a man with a kite in his hands
children,I,7001.png,../data/children/stimuli_I/7001.png,drawing of a person holding a knife and a paper bag
children,I,7002.png,../data/children/stimuli_I/7002.png,drawing of a person with a backpack on a white background
children,I,7003.png,../data/children/stimuli_I/7003.png,drawing of a cartoon character holding a sign with a knife
children,I,7004.png,../data/children/stimuli_I/7004.png,drawing of a cartoon character with a headphone on a white background
children,I,7005.png,../data/children/stimuli_I/7005.png,drawing of a man standing in front of a door with a cloud coming out of it
children,I,7006.png,../data/children/stimuli_I/7006.png,drawing of a ice cream cone with the words ice cream on it
children,I,7007.png,../data/children/stimuli_I/7007.png,drawing of a house with a clock tower and a sun on top
children,I,7009.png,../data/children/stimuli_I/7009.png,drawing of a computer mouse with a black handle
children,I,7010.png,../data/children/stimuli_I/7010.png,drawing of a bird with wings and a house on its back
children,I,7011.png,../data/children/stimuli_I/7011.png,drawing of a robot with a head and arms
children,I,7012.png,../data/children/stimuli_I/7012.png,drawing of a small house with a steeple on top
children,I,7013.png,../data/children/stimuli_I/7013.png,drawing of a robot with a head and arms
children,I,7014.png,../data/children/stimuli_I/7014.png,drawing of a castle with a cat and a dog on it
children,I,7015.png,../data/children/stimuli_I/7015.png,there is a drawing of a cake on a plate on a table
children,I,7016.png,../data/children/stimuli_I/7016.png,a drawing of a sheep with a bunch of hair on its head
children,I,7017.png,../data/children/stimuli_I/7017.png,there is a drawing of a box with a bird on top
children,I,7018.png,../data/children/stimuli_I/7018.png,drawing of a man holding a sign with his arms out
children,I,7019.png,../data/children/stimuli_I/7019.png,drawing of a cat with a box in its mouth
children,I,7020.png,../data/children/stimuli_I/7020.png,drawing of a robot with a heart and a speech bubble
children,I,7021.png,../data/children/stimuli_I/7021.png,drawing of a man with a tree on his head
children,I,7023.png,../data/children/stimuli_I/7023.png,there is a drawing of a ghost with a hat on
children,I,7024.png,../data/children/stimuli_I/7024.png,drawing of a bird cage with a bird on top of it
children,I,7025.png,../data/children/stimuli_I/7025.png,a drawing of a cartoon character with a crown on his head
children,I,7026.png,../data/children/stimuli_I/7026.png,drawing of a ice cream cone with a strawberry on top
children,I,7027.png,../data/children/stimuli_I/7027.png,drawing of a ice cream cone with a face on it
children,I,7028.png,../data/children/stimuli_I/7028.png,there is a drawing of a bird with a hat on
