creator,stimuli,image,filepath,blip_caption
children,G,1001.png,../data/children/stimuli_G/1001.png,drawing of a person with a crown on their head
children,G,1002.png,../data/children/stimuli_G/1002.png,drawing of a mushroom with a man and a woman on it
children,G,1003.png,../data/children/stimuli_G/1003.png,drawing of a boat with a tower on top of it
children,G,1004.png,../data/children/stimuli_G/1004.png,drawing of a man with a face drawn on it
children,G,1005.png,../data/children/stimuli_G/1005.png,drawing of a bird on a vase with a bird on top
children,G,1006.png,../data/children/stimuli_G/1006.png,there is a drawing of a bunch of flowers on a white paper
children,G,1007.png,../data/children/stimuli_G/1007.png,drawing of a bird flying over a house with a kite
children,G,1008.png,../data/children/stimuli_G/1008.png,a drawing of a man with a sad face and a tie
children,G,1009.png,../data/children/stimuli_G/1009.png,drawing of a boat with a flag and a flag pole
children,G,1010.png,../data/children/stimuli_G/1010.png,a drawing of a girl in a dress with a bow
children,G,1011.png,../data/children/stimuli_G/1011.png,a drawing of a bird with a face and a beak
children,G,1012.png,../data/children/stimuli_G/1012.png,drawing of a hand with a finger on it
children,G,1013.png,../data/children/stimuli_G/1013.png,drawing of a man and a woman in a window with a cat
children,G,1014.png,../data/children/stimuli_G/1014.png,drawing of a man with a cell phone in his hand
children,G,1015.png,../data/children/stimuli_G/1015.png,drawing of a bird with a flower in its beak
children,G,1016.png,../data/children/stimuli_G/1016.png,drawing of a mushroom with a stick sticking out of it
children,G,1017.png,../data/children/stimuli_G/1017.png,drawing of a person with a hat and a dress on
children,G,1018.png,../data/children/stimuli_G/1018.png,drawing of a tie on a white paper with a pencil
children,G,1019.png,../data/children/stimuli_G/1019.png,drawing of a black and white picture of a clock with a number 11
children,G,1020.png,../data/children/stimuli_G/1020.png,a drawing of a mushroom with a face drawn on it
children,G,1022.png,../data/children/stimuli_G/1022.png,drawing of a cartoon cat with a clock on its head
children,G,1023.png,../data/children/stimuli_G/1023.png,drawing of a drawing of a person holding an umbrella
children,G,1024.png,../data/children/stimuli_G/1024.png,drawing of a person holding an umbrella with a string attached to it
children,G,1025.png,../data/children/stimuli_G/1025.png,drawing of a basket of fruit with two forks and a spoon
children,G,1026.png,../data/children/stimuli_G/1026.png,drawing of a scarecrow with a number on it
children,G,1027.png,../data/children/stimuli_G/1027.png,drawing of a clock with a clock face and a clock face on it
children,G,1028.png,../data/children/stimuli_G/1028.png,drawing of a smiling face with a striped face and a square nose
children,G,1029.png,../data/children/stimuli_G/1029.png,drawing of a t - shirt with a tie on it
children,G,2001.png,../data/children/stimuli_G/2001.png,drawing of a door in a hole with a arrow pointing to it
children,G,2002.png,../data/children/stimuli_G/2002.png,drawing of a cartoon elephant with a big nose and a big nose
children,G,2003.png,../data/children/stimuli_G/2003.png,drawing of a man with a tie and a heart in his chest
children,G,2004.png,../data/children/stimuli_G/2004.png,arafed drawing of a clock with a number four on it
children,G,2009.png,../data/children/stimuli_G/2009.png,drawing of a mushroom with a long stem on a white background
children,G,2010.png,../data/children/stimuli_G/2010.png,drawing of a umbrella with a line drawing of a person holding a umbrella
children,G,2011.png,../data/children/stimuli_G/2011.png,drawing of a bird sitting on top of a dress on a white background
children,G,2012.png,../data/children/stimuli_G/2012.png,a drawing of a mushroom with a face drawn on it
children,G,2013.png,../data/children/stimuli_G/2013.png,drawing of a cartoon character with a baseball bat and a baseball cap
children,G,2014.png,../data/children/stimuli_G/2014.png,there is a drawing of a fan with a bunch of fruit on it
children,G,2015.png,../data/children/stimuli_G/2015.png,drawing of a cartoon character with a knife and fork in his hand
children,G,2016.png,../data/children/stimuli_G/2016.png,drawing of a person ' s foot with a shoe on it
children,G,2017.png,../data/children/stimuli_G/2017.png,drawing of a sink with a toothbrush and a toothbrush holder
children,G,2018.png,../data/children/stimuli_G/2018.png,drawing of a man with a hat and a tie on
children,G,3001.png,../data/children/stimuli_G/3001.png,drawing of a clock with a pencil and a pencil on a paper
children,G,3002.png,../data/children/stimuli_G/3002.png,drawing of a t - shirt with a line drawing of a water drop
children,G,3005.png,../data/children/stimuli_G/3005.png,drawing of a man with a tie and a umbrella
children,G,3007.png,../data/children/stimuli_G/3007.png,drawing of a man standing in the water with a umbrella
children,G,3008.png,../data/children/stimuli_G/3008.png,a drawing of a man with a bird on his head
children,G,3009.png,../data/children/stimuli_G/3009.png,there is a drawing of a smiling face with a book in the background
children,G,3010.png,../data/children/stimuli_G/3010.png,drawing of a man with a hat and a cell phone
children,G,3011.png,../data/children/stimuli_G/3011.png,drawing of a couple in a boat with a city in the background
children,G,3013.png,../data/children/stimuli_G/3013.png,drawing of a man with a hat and tie on his head
children,G,3016.png,../data/children/stimuli_G/3016.png,drawing of a toilet with a seat and a toilet paper roll
children,G,3017.png,../data/children/stimuli_G/3017.png,a close up of a drawing of a mushroom on a white background
children,G,3018.png,../data/children/stimuli_G/3018.png,drawing of a mushroom with dots on it ' s head
children,G,3020.png,../data/children/stimuli_G/3020.png,drawing of a person holding an umbrella with a pencil in it
children,G,3022.png,../data/children/stimuli_G/3022.png,drawing of a person holding an umbrella with a heart on it
children,G,3023.png,../data/children/stimuli_G/3023.png,drawing of a person holding an umbrella in the rain
children,G,3024.png,../data/children/stimuli_G/3024.png,drawing of a person holding an umbrella with a white background
children,G,3025.png,../data/children/stimuli_G/3025.png,a drawing of a person standing in front of a light bulb
children,G,3026.png,../data/children/stimuli_G/3026.png,there is a drawing of a bird with a nest on it
children,G,3028.png,../data/children/stimuli_G/3028.png,a drawing of a mushroom on a white background with a black outline
children,G,4001.png,../data/children/stimuli_G/4001.png,a drawing of a mushroom with a letter n on it
children,G,4002.png,../data/children/stimuli_G/4002.png,a drawing of a mushroom on a white background with a black outline
children,G,4003.png,../data/children/stimuli_G/4003.png,a drawing of a mushroom head with a long tail
children,G,4004.png,../data/children/stimuli_G/4004.png,drawing of a smiling face with a computer mouse in it
children,G,4005.png,../data/children/stimuli_G/4005.png,drawing of a mushroom with a long tail and a long tail
children,G,4006.png,../data/children/stimuli_G/4006.png,drawing of a clock with a face on it on a white background
children,G,4007.png,../data/children/stimuli_G/4007.png,drawing of a woman with a crown on her head
children,G,4008.png,../data/children/stimuli_G/4008.png,drawing of a mushroom and an elephant under a tree
children,G,4009.png,../data/children/stimuli_G/4009.png,drawing of a person holding a umbrella in the rain
children,G,4010.png,../data/children/stimuli_G/4010.png,drawing of a candle with a candle on it and a handwritten date
children,G,4011.png,../data/children/stimuli_G/4011.png,drawing of a person holding a knife and a knife in their hand
children,G,4012.png,../data/children/stimuli_G/4012.png,drawing of a person with an umbrella in the rain
children,G,4013.png,../data/children/stimuli_G/4013.png,drawing of a person holding a umbrella over a house
children,G,4014.png,../data/children/stimuli_G/4014.png,drawing of a person holding an umbrella with a bird flying by
children,G,4015.png,../data/children/stimuli_G/4015.png,drawing of a person with a hat and a tie on
children,G,4016.png,../data/children/stimuli_G/4016.png,a drawing of a mushroom with a lot of dots on it
children,G,4017.png,../data/children/stimuli_G/4017.png,drawing of a face with a smile on it
children,G,4018.png,../data/children/stimuli_G/4018.png,drawing of a person with a umbrella on a white background
children,G,4019.png,../data/children/stimuli_G/4019.png,a drawing of a mushroom with a house in the middle
children,G,4020.png,../data/children/stimuli_G/4020.png,a drawing of a circle with a small triangle on it
children,G,4021.png,../data/children/stimuli_G/4021.png,drawing of a horse head with a long mane and a short tail
children,G,4022.png,../data/children/stimuli_G/4022.png,drawing of a man with a dog in a house
children,G,4023.png,../data/children/stimuli_G/4023.png,a drawing of a boat with a sail on it ' s side
children,G,4024.png,../data/children/stimuli_G/4024.png,drawing of a cup with a heart on it and a spoon in it
children,G,4025.png,../data/children/stimuli_G/4025.png,drawing of a bird with a crown on its head
children,G,4026.png,../data/children/stimuli_G/4026.png,drawing of a cartoon character with two horns and a nose
children,G,5001.png,../data/children/stimuli_G/5001.png,drawing of a tie with a knot on it
children,G,5002.png,../data/children/stimuli_G/5002.png,drawing of a child ' s drawing of a tree with a bird on it
children,G,5003.png,../data/children/stimuli_G/5003.png,drawing of a cartoon character with a key in his mouth
children,G,5004.png,../data/children/stimuli_G/5004.png,drawing of a person with a large head and a small body
children,G,5009.png,../data/children/stimuli_G/5009.png,drawing of a man with a hat and a tie on
children,G,5010.png,../data/children/stimuli_G/5010.png,there is a drawing of a clock on a white wall
children,G,5011.png,../data/children/stimuli_G/5011.png,drawing of a person holding an umbrella with a face drawn on it
children,G,5012.png,../data/children/stimuli_G/5012.png,drawing of a mushroom with a face drawn on it
children,G,5018.png,../data/children/stimuli_G/5018.png,drawing of a helmet with a pair of scissors on it
