creator,stimuli,image,filepath,blip_caption
AI_prompt3,I,Dalle01.png,../data/AI/prompt_3/stimuli_I/Dalle01.png,a cartoon drawing of a man sitting on a laptop computer
AI_prompt3,I,Dalle02.png,../data/AI/prompt_3/stimuli_I/Dalle02.png,a drawing of a man sitting on a chair talking on a phone
AI_prompt3,I,Dalle03.png,../data/AI/prompt_3/stimuli_I/Dalle03.png,a close up of a drawing of a person with a hat on
AI_prompt3,I,Dalle04.png,../data/AI/prompt_3/stimuli_I/Dalle04.png,drawing of a dolphin and a bird with a long nose
AI_prompt3,I,Dalle05.png,../data/AI/prompt_3/stimuli_I/Dalle05.png,a drawing of a woman sitting in a chair with a cat
AI_prompt3,I,Dalle06.png,../data/AI/prompt_3/stimuli_I/Dalle06.png,a drawing of a person sitting in a chair with a laptop
AI_prompt3,I,Dalle07.png,../data/AI/prompt_3/stimuli_I/Dalle07.png,a drawing of a man with a hat and a cane
AI_prompt3,I,Dalle08.png,../data/AI/prompt_3/stimuli_I/Dalle08.png,cartoon of a man standing next to a stool with a knife in his hand
AI_prompt3,I,Dalle09.png,../data/AI/prompt_3/stimuli_I/Dalle09.png,a close up of a drawing of a person sitting on a chair
AI_prompt3,I,Dalle10.png,../data/AI/prompt_3/stimuli_I/Dalle10.png,a close up of a black and white drawing of a person
AI_prompt3,I,Dalle11.png,../data/AI/prompt_3/stimuli_I/Dalle11.png,a drawing of a man sitting in a chair with a dog on his lap
AI_prompt3,I,Dalle12.png,../data/AI/prompt_3/stimuli_I/Dalle12.png,a drawing of a man in a white shirt and a hat
AI_prompt3,I,Dalle13.png,../data/AI/prompt_3/stimuli_I/Dalle13.png,a close up of a person with a hair style on a white background
AI_prompt3,I,Dalle14.png,../data/AI/prompt_3/stimuli_I/Dalle14.png,a drawing of a person leaning over a pole with a head on it
AI_prompt3,I,Dalle15.png,../data/AI/prompt_3/stimuli_I/Dalle15.png,a drawing of a man sitting on a chair with his arms crossed
AI_prompt3,I,Dalle16.png,../data/AI/prompt_3/stimuli_I/Dalle16.png,a drawing of a man sitting on a chair with a book
AI_prompt3,I,Dalle17.png,../data/AI/prompt_3/stimuli_I/Dalle17.png,a drawing of a man sitting on a chair with a skateboard
AI_prompt3,I,Dalle18.png,../data/AI/prompt_3/stimuli_I/Dalle18.png,a drawing of a man with a nose ring and a nose ring
AI_prompt3,I,Dalle19.png,../data/AI/prompt_3/stimuli_I/Dalle19.png,a drawing of a man with a large arm and a small arm
AI_prompt3,I,Dalle20.png,../data/AI/prompt_3/stimuli_I/Dalle20.png,a drawing of a woman holding a baby in her arms
AI_prompt3,I,Dalle21.png,../data/AI/prompt_3/stimuli_I/Dalle21.png,a drawing of a man with a mustache and a face
AI_prompt3,I,Dalle22.png,../data/AI/prompt_3/stimuli_I/Dalle22.png,a drawing of a man standing on a block with his legs bent
AI_prompt3,I,Dalle23.png,../data/AI/prompt_3/stimuli_I/Dalle23.png,a drawing of a man sitting in a chair with a bird on his shoulder
AI_prompt3,I,Dalle24.png,../data/AI/prompt_3/stimuli_I/Dalle24.png,a drawing of a face with a long nose and a nose ring
AI_prompt3,I,Dalle25.png,../data/AI/prompt_3/stimuli_I/Dalle25.png,cartoon of a man holding a pair of scissors and a rabbit
AI_prompt3,I,Dalle26.png,../data/AI/prompt_3/stimuli_I/Dalle26.png,a drawing of a man standing in front of a door
AI_prompt3,I,Dalle27.png,../data/AI/prompt_3/stimuli_I/Dalle27.png,a drawing of a man with a sad face and eyes
AI_prompt3,I,Dalle28.png,../data/AI/prompt_3/stimuli_I/Dalle28.png,a drawing of a man is throwing a frisbee in the air
AI_prompt3,I,Dalle29.png,../data/AI/prompt_3/stimuli_I/Dalle29.png,a drawing of a person standing in front of a fountain
AI_prompt3,I,Dalle30.png,../data/AI/prompt_3/stimuli_I/Dalle30.png,a drawing of a couple of faces with a man and a woman
AI_prompt3,I,Dalle31.png,../data/AI/prompt_3/stimuli_I/Dalle31.png,a cartoon drawing of a man with a rope around his neck
AI_prompt3,I,Dalle32.png,../data/AI/prompt_3/stimuli_I/Dalle32.png,a drawing of a man with a broken leg and a crutch
AI_prompt3,I,Dalle33.png,../data/AI/prompt_3/stimuli_I/Dalle33.png,a drawing of a woman with a head in a line
AI_prompt3,I,Dalle34.png,../data/AI/prompt_3/stimuli_I/Dalle34.png,a drawing of a woman ' s face with a line drawing of her face
AI_prompt3,I,Dalle35.png,../data/AI/prompt_3/stimuli_I/Dalle35.png,there is a black and white picture of a man and a woman
AI_prompt3,I,Dalle36.png,../data/AI/prompt_3/stimuli_I/Dalle36.png,a drawing of a man with a tennis ball in his hand
AI_prompt3,I,Dalle37.png,../data/AI/prompt_3/stimuli_I/Dalle37.png,a drawing of a ghost with eyes and a nose
AI_prompt3,I,Dalle38.png,../data/AI/prompt_3/stimuli_I/Dalle38.png,a drawing of a man with a beard and a mustache
AI_prompt3,I,Dalle39.png,../data/AI/prompt_3/stimuli_I/Dalle39.png,a close up of a black and white drawing of a bird
AI_prompt3,I,Dalle40.png,../data/AI/prompt_3/stimuli_I/Dalle40.png,a drawing of a man holding a pole with a stick in his hand
AI_prompt3,I,Dalle41.png,../data/AI/prompt_3/stimuli_I/Dalle41.png,there is a black and white drawing of a woman with a headband
AI_prompt3,I,Dalle42.png,../data/AI/prompt_3/stimuli_I/Dalle42.png,there is a black and white drawing of a woman in a dress
AI_prompt3,I,Dalle43.png,../data/AI/prompt_3/stimuli_I/Dalle43.png,arafed drawing of a man sitting in a chair with a bird on his shoulder
AI_prompt3,I,Dalle44.png,../data/AI/prompt_3/stimuli_I/Dalle44.png,cartoon drawing of a man holding a flag with a bird on it
AI_prompt3,I,Dalle45.png,../data/AI/prompt_3/stimuli_I/Dalle45.png,a drawing of a person with a knife and a knife in their hand
AI_prompt3,I,Dalle46.png,../data/AI/prompt_3/stimuli_I/Dalle46.png,a drawing of a man with a hat and a face
AI_prompt3,I,Dalle47.png,../data/AI/prompt_3/stimuli_I/Dalle47.png,a drawing of a woman with a snake in her arms
AI_prompt3,I,Dalle48.png,../data/AI/prompt_3/stimuli_I/Dalle48.png,cartoon of a man with a crown on his head and a bird in his hand
AI_prompt3,I,Dalle49.png,../data/AI/prompt_3/stimuli_I/Dalle49.png,a drawing of a man sitting on the ground with his legs crossed
AI_prompt3,I,Dalle50.png,../data/AI/prompt_3/stimuli_I/Dalle50.png,there is a black and white drawing of a man and a woman
