creator,stimuli,filepath,gpt_caption
AI_prompt2,R,../data/AI/prompt_2/stimuli_R/Dalle01.png,Swing seat under a simple frame next to a tall cylinder. [4]
AI_prompt2,R,../data/AI/prompt_2/stimuli_R/Dalle02.png,"Two overhead shower heads with water flowing, and a cup on top. [4]"
AI_prompt2,R,../data/AI/prompt_2/stimuli_R/Dalle03.png,A desk or cabinet with multiple drawers and a flat top. [5]
AI_prompt2,R,../data/AI/prompt_2/stimuli_R/Dalle04.png,"Person at desk with computer, drink, and bowl. [4]"
AI_prompt2,R,../data/AI/prompt_2/stimuli_R/Dalle05.png,Person holding paper with a drawing of a potted plant and flower. [4]
AI_prompt2,R,../data/AI/prompt_2/stimuli_R/Dalle06.png,"A shredder with paper being shredded, hanging cord above. [4]"
AI_prompt2,R,../data/AI/prompt_2/stimuli_R/Dalle07.png,"Chair, table with vase, and a cube-like frame structure. [5]"
AI_prompt2,R,../data/AI/prompt_2/stimuli_R/Dalle08.png,"Umbrella and paper boat with raindrops, sitting on a wavy surface. [5]"
AI_prompt2,R,../data/AI/prompt_2/stimuli_R/Dalle09.png,Hard to interpret. [2]
AI_prompt2,R,../data/AI/prompt_2/stimuli_R/Dalle10.png,Hard to interpret. [2]
AI_prompt2,R,../data/AI/prompt_2/stimuli_R/Dalle11.png,Hard to interpret. [1]
AI_prompt2,R,../data/AI/prompt_2/stimuli_R/Dalle12.png,"Many vertical lines resembling sticks or poles, with decorative top design. [4]"
AI_prompt2,R,../data/AI/prompt_2/stimuli_R/Dalle13.png,"Abstract shapes resembling a TV, gaming console, and drink container. [3]"
AI_prompt2,R,../data/AI/prompt_2/stimuli_R/Dalle14.png,Hard to interpret. [2]
AI_prompt2,R,../data/AI/prompt_2/stimuli_R/Dalle15.png,"A frame, a bowl with handles, and a mug. [5]"
AI_prompt2,R,../data/AI/prompt_2/stimuli_R/Dalle16.png,Chairs and a table with bags or containers on top. [4]
AI_prompt2,R,../data/AI/prompt_2/stimuli_R/Dalle17.png,Glass or cup with a spiral base design. [4]
AI_prompt2,R,../data/AI/prompt_2/stimuli_R/Dalle18.png,Geometric shapes resembling a basketball net and scattered cubes. [4]
AI_prompt2,R,../data/AI/prompt_2/stimuli_R/Dalle19.png,Hard to interpret. [2]
AI_prompt2,R,../data/AI/prompt_2/stimuli_R/Dalle20.png,A book with a small plant growing from it. [5]
AI_prompt2,R,../data/AI/prompt_2/stimuli_R/Dalle21.png,"Boat suspended between branches, suggesting an imaginative flying contraption. [4]"
AI_prompt2,R,../data/AI/prompt_2/stimuli_R/Dalle22.png,"A window frame showing sky, clouds, and lines suggesting fields. [5]"
AI_prompt2,R,../data/AI/prompt_2/stimuli_R/Dalle23.png,A simple sketch of a rectangular chair with a circular element. [4]
AI_prompt2,R,../data/AI/prompt_2/stimuli_R/Dalle24.png,Hard to interpret. [2]
AI_prompt2,R,../data/AI/prompt_2/stimuli_R/Dalle25.png,"Workspace with monitor, lamp, books, and desk accessories. [5]"
AI_prompt2,R,../data/AI/prompt_2/stimuli_R/Dalle26.png,Tablet and stylus with geometric design and pattern. [4]
AI_prompt2,R,../data/AI/prompt_2/stimuli_R/Dalle27.png,Hard to interpret. [2]
AI_prompt2,R,../data/AI/prompt_2/stimuli_R/Dalle28.png,Abstract shapes resembling furniture and geometric forms. [3]
AI_prompt2,R,../data/AI/prompt_2/stimuli_R/Dalle29.png,Chair with table and plant near it. [5]
AI_prompt2,R,../data/AI/prompt_2/stimuli_R/Dalle30.png,Geometric shapes with a small detached oval above. [4]
AI_prompt2,R,../data/AI/prompt_2/stimuli_R/Dalle31.png,"Open window with curtains tied back, object hanging in the middle. [5]"
AI_prompt2,R,../data/AI/prompt_2/stimuli_R/Dalle32.png,Hard to interpret. [2]
AI_prompt2,R,../data/AI/prompt_2/stimuli_R/Dalle33.png,Hard to interpret. [2]
AI_prompt2,R,../data/AI/prompt_2/stimuli_R/Dalle34.png,Hard to interpret. [2]
AI_prompt2,R,../data/AI/prompt_2/stimuli_R/Dalle35.png,Basket with fruit and vegetables on a table or counter. [3]
AI_prompt2,R,../data/AI/prompt_2/stimuli_R/Dalle36.png,"Chair, stack of books, cup, and easel with blank canvas. [5]"
AI_prompt2,R,../data/AI/prompt_2/stimuli_R/Dalle37.png,Window with slatted shutters and a hanging object above. [5]
AI_prompt2,R,../data/AI/prompt_2/stimuli_R/Dalle38.png,Abstract geometric shapes resembling shelves and a table with wheels. [3]
AI_prompt2,R,../data/AI/prompt_2/stimuli_R/Dalle39.png,"Table with glass, containers, and background objects, possibly kitchen setting. [4]"
AI_prompt2,R,../data/AI/prompt_2/stimuli_R/Dalle40.png,A computer with wings and a drink icon on the screen. [4]
AI_prompt2,R,../data/AI/prompt_2/stimuli_R/Dalle41.png,"A computer monitor, keyboard, and mouse with connected wires. [5]"
