creator,stimuli,filepath,gpt_caption
AI_prompt2,G,../data/AI/prompt_2/stimuli_G/Dalle01.png,A bottle displayed under a glass dome on a square base. [4]
AI_prompt2,G,../data/AI/prompt_2/stimuli_G/Dalle02.png,A can and straws with abstract elements inside. [3]
AI_prompt2,G,../data/AI/prompt_2/stimuli_G/Dalle03.png,A door in a tunnel with mountains in the background. [4]
AI_prompt2,G,../data/AI/prompt_2/stimuli_G/Dalle04.png,"Dome-shaped structure with door, surrounded by plants and trees. [5]"
AI_prompt2,G,../data/AI/prompt_2/stimuli_G/Dalle05.png,Books and objects neatly arranged on a circular shelf. [5]
AI_prompt2,G,../data/AI/prompt_2/stimuli_G/Dalle06.png,A house inside a glass dome with people outside it. [4]
AI_prompt2,G,../data/AI/prompt_2/stimuli_G/Dalle07.png,Open arched window with two hanging lamps on either side. [5]
AI_prompt2,G,../data/AI/prompt_2/stimuli_G/Dalle08.png,"Objects in front of a globe, including food and electronics. [4]"
AI_prompt2,G,../data/AI/prompt_2/stimuli_G/Dalle09.png,"Trash bin with lid and bag beside, lines suggesting motion. [5]"
AI_prompt2,G,../data/AI/prompt_2/stimuli_G/Dalle10.png,Abstract shape resembling a pineapple with curved lines above it. [3]
AI_prompt2,G,../data/AI/prompt_2/stimuli_G/Dalle11.png,A simple cat drawing inside a circular frame with plants and bottles. [4]
AI_prompt2,G,../data/AI/prompt_2/stimuli_G/Dalle12.png,A dome-shaped structure with a moon and an arched window. [4]
AI_prompt2,G,../data/AI/prompt_2/stimuli_G/Dalle13.png,Bread and knife on a plate. [5]
AI_prompt2,G,../data/AI/prompt_2/stimuli_G/Dalle14.png,"A domed structure with plants around it, featuring double doors. [5]"
AI_prompt2,G,../data/AI/prompt_2/stimuli_G/Dalle15.png,A person with a smiling face resting on a striped circular object. [3]
AI_prompt2,G,../data/AI/prompt_2/stimuli_G/Dalle16.png,Simple drawing of fruits on a table with a circular background. [4]
AI_prompt2,G,../data/AI/prompt_2/stimuli_G/Dalle17.png,A house facade with a tall flower and cactus in pots. [4]
AI_prompt2,G,../data/AI/prompt_2/stimuli_G/Dalle18.png,"Plant on ornate table with dish, encircled by lines. [4]"
AI_prompt2,G,../data/AI/prompt_2/stimuli_G/Dalle19.png,Food items and a bottle in front of a large plate. [4]
AI_prompt2,G,../data/AI/prompt_2/stimuli_G/Dalle20.png,A faucet and potted plant under an arched window. [4]
AI_prompt2,G,../data/AI/prompt_2/stimuli_G/Dalle21.png,"Coffee shop items inside a circle: cup, pastry, machine, plants, drinks. [4]"
AI_prompt2,G,../data/AI/prompt_2/stimuli_G/Dalle22.png,"House inside a circle with trees, clock, and cup. [4]"
AI_prompt2,G,../data/AI/prompt_2/stimuli_G/Dalle23.png,"Circular structure with door and small window, plant growing outside. [4]"
AI_prompt2,G,../data/AI/prompt_2/stimuli_G/Dalle24.png,"Two beds, sun symbol, surrounding plants and objects. [4]"
AI_prompt2,G,../data/AI/prompt_2/stimuli_G/Dalle25.png,Two differently shaped bottles inside a circle with abstract lines. [4]
AI_prompt2,G,../data/AI/prompt_2/stimuli_G/Dalle26.png,A simple house with a large door and two windows. [5]
AI_prompt2,G,../data/AI/prompt_2/stimuli_G/Dalle27.png,Abstract shapes form a geometric structure with a square and curved lines. [3]
AI_prompt2,G,../data/AI/prompt_2/stimuli_G/Dalle28.png,A small dome-shaped structure with a door and steps. [5]
AI_prompt2,G,../data/AI/prompt_2/stimuli_G/Dalle29.png,"A hut with a door, windows, and two potted plants. [5]"
AI_prompt2,G,../data/AI/prompt_2/stimuli_G/Dalle30.png,Bed with semicircle frame extending above the mattress. [4]
AI_prompt2,G,../data/AI/prompt_2/stimuli_G/Dalle31.png,A cactus in a mug on a table under an arch. [4]
AI_prompt2,G,../data/AI/prompt_2/stimuli_G/Dalle32.png,Hard to interpret. [2]
AI_prompt2,G,../data/AI/prompt_2/stimuli_G/Dalle33.png,"Abstract drawing with arch, windows, plants, and butterflies. [4]"
AI_prompt2,G,../data/AI/prompt_2/stimuli_G/Dalle34.png,A bus with clouds in the background. [5]
AI_prompt2,G,../data/AI/prompt_2/stimuli_G/Dalle35.png,Hard to interpret. [2]
AI_prompt2,G,../data/AI/prompt_2/stimuli_G/Dalle36.png,Toaster with a circular background and slices of bread inside. [5]
AI_prompt2,G,../data/AI/prompt_2/stimuli_G/Dalle37.png,Various tools and objects arranged inside a circular shape. [3]
AI_prompt2,G,../data/AI/prompt_2/stimuli_G/Dalle38.png,"Shelf with books, bottles, and framed picture hanging underneath. [4]"
AI_prompt2,G,../data/AI/prompt_2/stimuli_G/Dalle39.png,"Abstract illustration featuring circular and rectangular shapes, potentially a vehicle. [3]"
AI_prompt2,G,../data/AI/prompt_2/stimuli_G/Dalle40.png,Abstract shapes with overlapping circles and lines around a central rectangle. [4]
AI_prompt2,G,../data/AI/prompt_2/stimuli_G/Dalle41.png,Hard to interpret. [2]
AI_prompt2,G,../data/AI/prompt_2/stimuli_G/Dalle42.png,Overlapping outline of two wine glasses and an abstract shape. [4]
AI_prompt2,G,../data/AI/prompt_2/stimuli_G/Dalle43.png,A butterfly hanging upside down inside a birdcage. [5]
AI_prompt2,G,../data/AI/prompt_2/stimuli_G/Dalle44.png,A dome-shaped tent with a window and decorative hanging. [5]
AI_prompt2,G,../data/AI/prompt_2/stimuli_G/Dalle45.png,Hard to interpret. [2]
AI_prompt2,G,../data/AI/prompt_2/stimuli_G/Dalle46.png,Abstract outline resembling a person with a life preserver. [2]
AI_prompt2,G,../data/AI/prompt_2/stimuli_G/Dalle47.png,Hard to interpret. [1]
AI_prompt2,G,../data/AI/prompt_2/stimuli_G/Dalle48.png,Abstract drawing of a building encircled by lines and shapes. [4]
AI_prompt2,G,../data/AI/prompt_2/stimuli_G/Dalle49.png,Hard to interpret. [3]
AI_prompt2,G,../data/AI/prompt_2/stimuli_G/Dalle50.png,Abstract city skyline within a circular frame. [4]
