creator,stimuli,filepath,gpt_caption
adults,R,../data/adults/stimuli_R/103__3839_56.jpg,Humanoid robot with antennas and rectangular head and body structure. [4]
adults,R,../data/adults/stimuli_R/110__3853_56.jpg,Hard to interpret. [2]
adults,R,../data/adults/stimuli_R/113__3875_56.jpg,A square on top of an inverted triangular shape. [5]
adults,R,../data/adults/stimuli_R/138__5332_56.jpg,A square-headed figure with a rectangular body and simple limb outlines. [4]
adults,R,../data/adults/stimuli_R/140__3917_56.jpg,Basketball hoop and net with a backboard. [5]
adults,R,../data/adults/stimuli_R/157__3929_56.jpg,"Abstract geometric shape, resembling a cross with irregular edges. [3]"
adults,R,../data/adults/stimuli_R/1621__1240_56.jpg,Person shooting basketball towards hoop. [5]
adults,R,../data/adults/stimuli_R/1622__7246_56.jpg,"Rectangular object with antennas on top, circular object with angled lines below. [3]"
adults,R,../data/adults/stimuli_R/1626__1261_56.jpg,"Ice cream cone being filled, with happy face and ""ICE CREAM"" text. [5]"
adults,R,../data/adults/stimuli_R/1663__1271_56.jpg,Hard to interpret. [1]
adults,R,../data/adults/stimuli_R/1664__1281_56.jpg,"Person with glasses, smiling, and hair parted down the middle. [4]"
adults,R,../data/adults/stimuli_R/1665__1291_56.jpg,"Amphora-like shape with wavy and straight lines, possibly fish scales. [3]"
adults,R,../data/adults/stimuli_R/1666__1302_56.jpg,Cartoonish square-faced character with rectangular eyes and a wide smile. [4]
adults,R,../data/adults/stimuli_R/1667__364_56.jpg,Two stick figures holding hands in front of a house. [4]
adults,R,../data/adults/stimuli_R/1675__9732_56.jpg,A robot-like figure with square head and stick arms. [5]
adults,R,../data/adults/stimuli_R/1676__9744_56.jpg,Upside-down bottle with tubes and a square on top. [4]
adults,R,../data/adults/stimuli_R/16__3479_56.jpg,Sharpened pencil with a dark graphite tip. [5]
adults,R,../data/adults/stimuli_R/1740__1335_56.jpg,"Robot-like figure with square head, rectangular body, and triangular legs. [4]"
adults,R,../data/adults/stimuli_R/1741__1343_56.jpg,"Two faces looking at each other, forming a heart shape. [5]"
adults,R,../data/adults/stimuli_R/1743__1361_56.jpg,"A building with two vehicles in front, possibly cars. [5]"
adults,R,../data/adults/stimuli_R/1744__1371_56.jpg,"Simple geometric shapes, possibly resembling a face with two eyes and a mouth. [4]"
adults,R,../data/adults/stimuli_R/1748__1379_56.jpg,Stick figure with extended arms and angular shapes on torso. [4]
adults,R,../data/adults/stimuli_R/1749__1385_56.jpg,"Pencil drawing with whiskers and a tail, resembling a mouse. [4]"
adults,R,../data/adults/stimuli_R/174__3974_56.jpg,Two ambiguous shapes resembling legs with geometric elements. [3]
adults,R,../data/adults/stimuli_R/1750__1395_56.jpg,"Abstract humanoid figure with a square head and large ears, smiling. [4]"
adults,R,../data/adults/stimuli_R/1751__1407_56.jpg,Abstract shape resembling a humanoid figure with raised arms and wide feet. [3]
adults,R,../data/adults/stimuli_R/1753__1415_56.jpg,"Creature with antennae and wings, with a graph on its body. [4]"
adults,R,../data/adults/stimuli_R/1755__1426_56.jpg,Stick figure sitting at a table or desk with a smile. [4]
adults,R,../data/adults/stimuli_R/180__4008_56.jpg,Hard to interpret. [2]
adults,R,../data/adults/stimuli_R/181__5401_56.jpg,Abstract shapes within a box above a triangle. [3]
adults,R,../data/adults/stimuli_R/182__5413_56.jpg,A simplified drawing of a pencil. [5]
adults,R,../data/adults/stimuli_R/183__5425_56.jpg,A simple drawing of a kite with a tail. [4]
adults,R,../data/adults/stimuli_R/197__5477_56.jpg,A stick figure with a square body and an X across it. [4]
adults,R,../data/adults/stimuli_R/203__4080_56.jpg,A mouse with a triangular face and whiskers. [3]
adults,R,../data/adults/stimuli_R/21__3515_56.jpg,A pencil tip and barrel drawn with minimal lines. [5]
adults,R,../data/adults/stimuli_R/223__4150_56.jpg,Child-like drawing of a person with big hair and stick limbs. [4]
adults,R,../data/adults/stimuli_R/242__4174_56.jpg,"A crayon shape with the word ""Crayola"" written on it. [5]"
adults,R,../data/adults/stimuli_R/247__4186_56.jpg,Hard to interpret. [2]
adults,R,../data/adults/stimuli_R/259__4210_56.jpg,"Triangle shape with rectangular top, resembling an abstract pencil or pen. [4]"
adults,R,../data/adults/stimuli_R/263__7340_56.jpg,Abstract geometric shape resembling a house on a cone. [3]
adults,R,../data/adults/stimuli_R/265__4234_56.jpg,Stick figure playing basketball near a hoop with a net. [4]
adults,R,../data/adults/stimuli_R/269__4255_56.jpg,"Airplane drawing with ""LAX"" sign, another plane above. [5]"
adults,R,../data/adults/stimuli_R/26__3560_56.jpg,"Simplified face with two eyes, ears, and a triangular beard. [4]"
adults,R,../data/adults/stimuli_R/275__4267_56.jpg,Stick figure with rectangular body sitting cross-legged. [4]
adults,R,../data/adults/stimuli_R/27__3572_56.jpg,"A simple face with hair, rectangular eyes, and a straight mouth. [5]"
adults,R,../data/adults/stimuli_R/285__4291_56.jpg,Abstract shape resembling a fractured stone or shield pattern. [3]
adults,R,../data/adults/stimuli_R/287__5668_56.jpg,Two stick figures inside a hanging box-like structure with a darkened area below. [3]
adults,R,../data/adults/stimuli_R/298__4331_56.jpg,Hard to interpret. [2]
adults,R,../data/adults/stimuli_R/301__4343_56.jpg,Stick figure with arms raised near basketball hoop and backboard. [5]
adults,R,../data/adults/stimuli_R/302__4353_56.jpg,A simple stick figure with a rectangular head and minimal features. [5]
adults,R,../data/adults/stimuli_R/315__5734_56.jpg,Stick figure with a rectangular head and an angry expression. [4]
adults,R,../data/adults/stimuli_R/324__5748_56.jpg,Hard to interpret. [2]
adults,R,../data/adults/stimuli_R/32__3584_56.jpg,Outline of a home plate from baseball. [5]
adults,R,../data/adults/stimuli_R/340__5792_56.jpg,"A simple face with eyes, smile, and a small beard. [4]"
adults,R,../data/adults/stimuli_R/346__5815_56.jpg,Hard to interpret. [2]
adults,R,../data/adults/stimuli_R/356__5849_56.jpg,Hard to interpret. [2]
adults,R,../data/adults/stimuli_R/375__5952_56.jpg,Abstract humanoid figure sitting cross-legged on a circular object. [3]
adults,R,../data/adults/stimuli_R/392__6019_56.jpg,Smiling mask with one eye drawn larger than the other. [4]
adults,R,../data/adults/stimuli_R/415__7560_56.jpg,A simple sketch of a table lamp with a rectangular shade. [4]
adults,R,../data/adults/stimuli_R/427__6123_56.jpg,Hard to interpret. [2]
adults,R,../data/adults/stimuli_R/434__7593_56.jpg,Hard to interpret. [1]
adults,R,../data/adults/stimuli_R/445__7637_56.jpg,Hard to interpret. [1]
adults,R,../data/adults/stimuli_R/44__3668_56.jpg,Hard to interpret. [2]
adults,R,../data/adults/stimuli_R/453__7720_56.jpg,A stick figure throwing a basketball into a hoop. [5]
adults,R,../data/adults/stimuli_R/454__6235_56.jpg,Two dinosaur-like creatures facing each other with a glass in between. [5]
adults,R,../data/adults/stimuli_R/456__7756_56.jpg,"House with garage, plants, sun, and path. [5]"
adults,R,../data/adults/stimuli_R/458__7780_56.jpg,"A stick figure wearing a shirt with ""I ♥ NY"" written on it. [5]"
adults,R,../data/adults/stimuli_R/464__7839_56.jpg,Coffee machine with a cup underneath a spout. [4]
adults,R,../data/adults/stimuli_R/466__7862_56.jpg,"Vase with three flowers, geometric structure around it. [5]"
adults,R,../data/adults/stimuli_R/46__3689_56.jpg,Hard to interpret. [2]
adults,R,../data/adults/stimuli_R/481__7954_56.jpg,Two-story house with windows and abstract shapes at the bottom. [3]
adults,R,../data/adults/stimuli_R/482__7966_56.jpg,Hard to interpret. [2]
adults,R,../data/adults/stimuli_R/484__7990_56.jpg,Abstract geometric shapes with straight and curved lines. [3]
adults,R,../data/adults/stimuli_R/485__8001_56.jpg,Hard to interpret. [2]
adults,R,../data/adults/stimuli_R/486__8013_56.jpg,Outline resembles a turtle viewed from above. [4]
adults,R,../data/adults/stimuli_R/487__8025_56.jpg,Abstract figure with cross-like arms and bent legs. [3]
adults,R,../data/adults/stimuli_R/489__8046_56.jpg,"Robot, sun, and submarine with ocean waves in simple line drawing. [4]"
adults,R,../data/adults/stimuli_R/492__8058_56.jpg,A smiling face with a hat and a triangular beard. [5]
adults,R,../data/adults/stimuli_R/496__8100_56.jpg,"Stick figure with six-pack abs, wearing pants, in a box. [4]"
adults,R,../data/adults/stimuli_R/498__8112_56.jpg,"Humanoid figure with large nose, open mouth, arms raised, and hat. [4]"
adults,R,../data/adults/stimuli_R/502__8136_56.jpg,Hard to interpret. [1]
adults,R,../data/adults/stimuli_R/511__8156_56.jpg,Hard to interpret. [2]
adults,R,../data/adults/stimuli_R/513__8168_56.jpg,Simple drawing of a humanoid figure with a smiling face. [5]
adults,R,../data/adults/stimuli_R/517__8204_56.jpg,Cartoonish face with a square head and pointed ears. [4]
adults,R,../data/adults/stimuli_R/520__8227_56.jpg,Abstract human figure with arms raised. [3]
adults,R,../data/adults/stimuli_R/521__8239_56.jpg,Spider with a web-like pattern on its body. [4]
adults,R,../data/adults/stimuli_R/522__8251_56.jpg,Basketball hoop and ball on a court. [5]
adults,R,../data/adults/stimuli_R/524__8263_56.jpg,"Two stick figures; one arm raised, legs apart. [5]"
adults,R,../data/adults/stimuli_R/529__8275_56.jpg,Simple drawing of a face with angry expression and rectangular eyes. [5]
adults,R,../data/adults/stimuli_R/530__8287_56.jpg,Hard to interpret. [1]
adults,R,../data/adults/stimuli_R/532__8311_56.jpg,Abstract humanoid figure with a circular head and triangular lower body. [4]
adults,R,../data/adults/stimuli_R/533__8322_56.jpg,Ice cream cone with a triangular wrapper and sprinkles on top. [5]
adults,R,../data/adults/stimuli_R/534__8334_56.jpg,Hard to interpret. [2]
adults,R,../data/adults/stimuli_R/538__8356_56.jpg,Abstract figure with a boxy body and simple limbs. [3]
adults,R,../data/adults/stimuli_R/541__8378_56.jpg,"Abstract human figure with arms outstretched, triangle base, and cross above head. [3]"
adults,R,../data/adults/stimuli_R/542__8390_56.jpg,"Abstract face with triangular eyes, large ears, and hair strands. [4]"
adults,R,../data/adults/stimuli_R/543__8402_56.jpg,Simple outline resembling a house with windows and a chimney. [4]
adults,R,../data/adults/stimuli_R/547__8438_56.jpg,Abstract line drawing of a pen nib and holder. [4]
adults,R,../data/adults/stimuli_R/549__8448_56.jpg,Hard to interpret. [2]
adults,R,../data/adults/stimuli_R/551__8460_56.jpg,A stick figure with a square head and angular limbs. [4]
adults,R,../data/adults/stimuli_R/554__8483_56.jpg,Pencil with complex sketch lines at the tip. [3]
adults,R,../data/adults/stimuli_R/556__8495_56.jpg,Hard to interpret. [1]
adults,R,../data/adults/stimuli_R/558__8507_56.jpg,Hard to interpret. [2]
adults,R,../data/adults/stimuli_R/562__8524_56.jpg,Geometric shape with triangle on top and bottom. [4]
adults,R,../data/adults/stimuli_R/563__8536_56.jpg,Hard to interpret. [1]
adults,R,../data/adults/stimuli_R/564__8548_56.jpg,"A cartoonish character holding a pencil with text ""Me Hoy Minoy."" [4]"
adults,R,../data/adults/stimuli_R/567__8582_56.jpg,A stick figure with a smiling face and large arms and legs. [4]
adults,R,../data/adults/stimuli_R/568__8593_56.jpg,Hard to interpret. [2]
adults,R,../data/adults/stimuli_R/570__8605_56.jpg,Abstract shape resembling a butterfly with antennae. [4]
adults,R,../data/adults/stimuli_R/575__8629_56.jpg,Stick figure person with buttons on its torso. [4]
adults,R,../data/adults/stimuli_R/577__8641_56.jpg,Hard to interpret. [2]
adults,R,../data/adults/stimuli_R/583__8665_56.jpg,Robot-like figure with a triangular body and rectangular features. [2]
adults,R,../data/adults/stimuli_R/584__8677_56.jpg,Stick figure with a square body and triangular skirt. [5]
adults,R,../data/adults/stimuli_R/587__8699_56.jpg,"A simple, abstract drawing of a figure with a square head and triangular legs. [4]"
adults,R,../data/adults/stimuli_R/588__8711_56.jpg,Geometric shape resembling a stylized shield or banner. [4]
adults,R,../data/adults/stimuli_R/590__8735_56.jpg,Square-headed figure with simple facial features and stick-like arms. [4]
adults,R,../data/adults/stimuli_R/591__8747_56.jpg,Hard to interpret. [2]
adults,R,../data/adults/stimuli_R/592__8759_56.jpg,Facial features with exaggerated hair and possibly a goatee. [3]
adults,R,../data/adults/stimuli_R/594__8781_56.jpg,A glass and a rectangular object with abstract markings. [3]
adults,R,../data/adults/stimuli_R/598__8793_56.jpg,Simple drawing of a person with a smiling face and elongated arms. [4]
adults,R,../data/adults/stimuli_R/601__8805_56.jpg,Stick figure hanging upside down with arms extended. [4]
adults,R,../data/adults/stimuli_R/607__8837_56.jpg,A computer monitor with a keyboard and mouse attached. [5]
adults,R,../data/adults/stimuli_R/614__8861_56.jpg,Hard to interpret. [2]
