pid,creator,age,stimuli,inverted,filename,filepath,blip_caption,blip_caption_correct,gpt_caption,gpt_caption_correct,gpt_caption_confidence,originality_audra,originality_ocs,percentile_ocs,category1,category2,category3,confidence,creativity,creativity2,used_stimulus,line_thickness,ink_density,ink_fraction_inside_stimulus,number_of_components,number_of_lines,dist_from_base_caption_gtelarge,dist_from_base_caption_gte,dist_from_base_caption_stella,dist_from_base_shape_dino,dist_from_base_shape_clip,text_10NN_gtelarge,image_10NN_dino,image_10NN_clip,inverse_category_frequency,inverse_cluster_frequency_gtelarge,gpt_hard_to_interpret,category_hard_to_interpret,mean_creativity,mean_originality,subgroup
1001,children,5.0,G,True,1001.png,../data/children/stimuli_G/1001.png,drawing of a person with a crown on their head,,"Child's drawing of person wearing a crown, with a heart shape nearby",,5,0.664583921432495,0.72,93.0,princess,heart,writing,2.0,3.0,3,0.5,10.5561591731363,42.17,0.542837559972584,5,148,0.166164611761707,0.329615215349651,0.405906045788886,0.837171469656183,0.528231594609869,0.15164076,0.26069576,0.33617306,49.33333333333329,9.81818181818182,0,0,0.75,0.6922919607162474,pre-schematic
1002,children,5.0,G,False,1002.png,../data/children/stimuli_G/1002.png,drawing of a mushroom with a man and a woman on it,,Crying mushroom with a sad face and teardrops,,5,0.614554762840271,0.58,68.0,creature/monster,circles,frown,2.0,2.0,2,1.0,5.38461925530236,6.4575,0.898378901524316,9,5,0.190082836742231,0.267895140287135,0.459976673126221,0.73949560281299,0.341619546529742,0.12107836,0.13501963,0.13988134,7.4,6.35294117647059,0,0,0.5,0.5972773814201355,pre-schematic
1003,children,5.0,G,True,1003.png,../data/children/stimuli_G/1003.png,drawing of a boat with a tower on top of it,,"A ship with a face and chimney, alongside a person with antennae",,4,0.67158979177475,0.74,95.0,princess,house,flowers,2.0,4.0,4,1.0,5.16322593524914,13.264375,0.378151862464183,14,24,0.207584631895102,0.401707273772575,0.461711168289185,0.759324371925619,0.371121390117231,0.15759096,0.22743157,0.17685068,49.33333333333329,10.8,0,0,1.0,0.705794895887375,pre-schematic
1004,children,4.0,G,True,1004.png,../data/children/stimuli_G/1004.png,drawing of a man with a face drawn on it,,Cartoonish face with large eyes and a smiling mouth,,4,0.428384363651276,0.52,51.0,(smiley) face,,,2.0,1.0,1,1.0,3.8688979901967,2.755,0.843478260869565,4,6,0.206149816513062,0.303782284259796,0.504666328430176,0.549452495824325,0.28118388049338,0.08096619,0.24104539,0.17937297,16.4444444444444,4.15384615384615,0,0,0.25,0.47419218182563805,pre-schematic
1005,children,4.0,G,True,1005.png,../data/children/stimuli_G/1005.png,drawing of a bird on a vase with a bird on top,,Abstract face with a rectangular head and curvy body shape,,3,0.533170938491821,0.55,60.0,(smiley) face,,,2.0,1.0,1,1.0,4.31418264011988,4.128125,0.845591397849462,3,5,0.19006222486496,0.343736113047846,0.492203712463379,0.590634354262403,0.314299955420246,0.1050989,0.21995282,0.17112996,16.4444444444444,4.15384615384615,1,0,0.25,0.5415854692459106,pre-schematic
1006,children,5.0,G,False,1006.png,../data/children/stimuli_G/1006.png,there is a drawing of a bunch of flowers on a white paper,,Hard to interpret,,2,0.766997575759888,0.53,55.0,abstract doodle/hard to interpret,,,2.0,0.0,2,0.5,4.54138606666413,27.289375,0.589267794880517,3,163,0.248445093631744,0.458286789553569,0.628205180168152,0.836481942780671,0.311913663939019,0.0,0.37502366,0.14027278,3.21739130434783,2.63414634146341,1,1,0.25,0.648498787879944,pre-schematic
1007,children,5.0,G,True,1007.png,../data/children/stimuli_G/1007.png,drawing of a bird flying over a house with a kite,,House-like shape with windows and a cloud or tree nearby,,4,0.663845598697662,0.62,78.0,house,flower,door,1.0,2.0,4,1.0,4.46958835076133,9.184375,0.738247566063978,3,22,0.165136267832739,0.346572638741667,0.386850714683533,0.742220080742281,0.328936454905529,0.12219809,0.24738844,0.15271589,37.0,15.4285714285714,0,0,0.75,0.641922799348831,pre-schematic
1008,children,7.0,G,True,1008.png,../data/children/stimuli_G/1008.png,a drawing of a man with a sad face and a tie,,"Smiling face with large eyes and curly hair, simple line drawing",,4,0.559856295585632,0.54,58.0,(smiley) face,ears,hair,2.0,3.0,4,1.0,4.78093463693626,10.65625,0.357106684672519,8,18,0.150172820676992,0.260230139507658,0.391617655754089,0.765321667647411,0.288917300777409,0.105744496,0.2208477,0.13128024,16.4444444444444,4.15384615384615,0,0,0.875,0.549928147792816,schematic
1009,children,6.0,G,True,1009.png,../data/children/stimuli_G/1009.png,drawing of a boat with a flag and a flag pole,,A person on a boat with an anchor in the sea,,5,0.702921867370606,0.75,95.0,person(s),boat,music,2.0,3.0,3,1.0,4.92121498075725,14.695625,0.4874632934267,11,57,0.222247229680583,0.46157108132753,0.562552511692047,0.777009273245386,0.351791302914216,0.18627426,0.32570276,0.2025909,8.70588235294118,10.8,0,0,0.75,0.726460933685303,pre-schematic
1010,children,4.0,G,True,1010.png,../data/children/stimuli_G/1010.png,a drawing of a girl in a dress with a bow,,"Smiling person with long hair, wearing a dress with heart and patterns",,5,0.636944949626923,0.65,83.0,person,heart,hair,2.0,3.0,4,1.0,7.92149478068286,13.54875,0.692044658674247,3,15,0.222550915327612,0.478257878966864,0.592865305926362,0.733563496589432,0.381406949401908,0.1512973,0.22182484,0.18431719,8.70588235294118,10.8,0,0,0.875,0.6434724748134615,pre-schematic
