creator,stimuli,image,filepath,blip_caption
children,R,1001.png,../data/children/stimuli_R/1001.png,a drawing of three people with a house in the background
children,R,1002.png,../data/children/stimuli_R/1002.png,drawing of a man standing in front of a house with a face drawn on it
children,R,1003.png,../data/children/stimuli_R/1003.png,drawing of a basket with a plant in it on a white surface
children,R,1004.png,../data/children/stimuli_R/1004.png,drawing of a house with a chimney and a door
children,R,1005.png,../data/children/stimuli_R/1005.png,drawing of a man and a woman standing in front of a house
children,R,1006.png,../data/children/stimuli_R/1006.png,drawing of a bottle with a knot on it and a string
children,R,1007.png,../data/children/stimuli_R/1007.png,drawing of a baseball glove with a man in it
children,R,1008.png,../data/children/stimuli_R/1008.png,drawing of a house with a chimney and a chimney top
children,R,1009.png,../data/children/stimuli_R/1009.png,drawing of a house with a bird inside and a bird inside
children,R,1010.png,../data/children/stimuli_R/1010.png,drawing of a man in a medieval costume standing in front of a house
children,R,1011.png,../data/children/stimuli_R/1011.png,drawing of a coat and a hat on a white background
children,R,1012.png,../data/children/stimuli_R/1012.png,drawing of a house with a window and a door
children,R,1013.png,../data/children/stimuli_R/1013.png,drawing of a black cat sitting on a white surface with a flag
children,R,1014.png,../data/children/stimuli_R/1014.png,drawing of a cup with a lot of bubbles on it
children,R,1015.png,../data/children/stimuli_R/1015.png,drawing of a person with a large bird on their arm
children,R,1016.png,../data/children/stimuli_R/1016.png,there is a drawing of a vase with a pattern on it
children,R,1017.png,../data/children/stimuli_R/1017.png,drawing of a house with a door and a window in the middle
children,R,1018.png,../data/children/stimuli_R/1018.png,there is a drawing of a tall vase with a bird on it
children,R,1019.png,../data/children/stimuli_R/1019.png,drawing of a house with a chimney and a window
children,R,1020.png,../data/children/stimuli_R/1020.png,drawing of a piece of paper with a drawing of a ice cream cone
children,R,1022.png,../data/children/stimuli_R/1022.png,drawing of a piece of ice with a heart on it
children,R,1023.png,../data/children/stimuli_R/1023.png,drawing of a house with a sun in the background
children,R,1024.png,../data/children/stimuli_R/1024.png,drawing of a house with a flag on top of it
children,R,1025.png,../data/children/stimuli_R/1025.png,drawing of a rocket and a planet with a star in the sky
children,R,1026.png,../data/children/stimuli_R/1026.png,drawing of a house and a man standing in front of a building
children,R,1027.png,../data/children/stimuli_R/1027.png,drawing of a rocket with stars and a moon in the sky
children,R,1028.png,../data/children/stimuli_R/1028.png,drawing of a traffic light with a building in the background
children,R,1029.png,../data/children/stimuli_R/1029.png,drawing of a shield with a long neck and a long tail
children,R,2001.png,../data/children/stimuli_R/2001.png,drawing of a man in a suit with a tie and a tie
children,R,2002.png,../data/children/stimuli_R/2002.png,drawing of a wine glass with a wine corker on it
children,R,2003.png,../data/children/stimuli_R/2003.png,drawing of a pencil with a flower in it and a hand holding a pencil
children,R,2004.png,../data/children/stimuli_R/2004.png,drawing of a toilet with a broken seat and a broken arm
children,R,2009.png,../data/children/stimuli_R/2009.png,there is a drawing of a white arrow on a white paper
children,R,2010.png,../data/children/stimuli_R/2010.png,drawing of a house with a window and a door
children,R,2011.png,../data/children/stimuli_R/2011.png,drawing of a wine glass with a long stem and a long stem
children,R,2012.png,../data/children/stimuli_R/2012.png,drawing of a umbrella with a long handle on a white background
children,R,2013.png,../data/children/stimuli_R/2013.png,drawing of a man in a tie and tie with a tie on
children,R,2014.png,../data/children/stimuli_R/2014.png,drawing of a cartoon man with a crown on his head
children,R,2015.png,../data/children/stimuli_R/2015.png,drawing of a man with a kite in his hand
children,R,2016.png,../data/children/stimuli_R/2016.png,drawing of a black and white picture of a bug on a white sheet
children,R,2017.png,../data/children/stimuli_R/2017.png,drawing of a man sitting on a toilet with a toilet paper roll in his hand
children,R,2018.png,../data/children/stimuli_R/2018.png,there is a drawing of a shield with a long arrow on it
children,R,3001.png,../data/children/stimuli_R/3001.png,a drawing of a drawing of a square with a line of writing
children,R,3002.png,../data/children/stimuli_R/3002.png,drawing of a drawing of a man with a tie on
children,R,3005.png,../data/children/stimuli_R/3005.png,drawing of a bird on a piece of paper with a drawing of a person
children,R,3007.png,../data/children/stimuli_R/3007.png,there is a drawing of a black and white flag hanging on a clothes line
children,R,3008.png,../data/children/stimuli_R/3008.png,drawing of a toothbrush on a toothbrush holder with a toothbrush
children,R,3009.png,../data/children/stimuli_R/3009.png,drawing of a house with a window and a door
children,R,3010.png,../data/children/stimuli_R/3010.png,drawing of a house with a window and a door with a window
children,R,3011.png,../data/children/stimuli_R/3011.png,drawing of a house with a window and a door
children,R,3013.png,../data/children/stimuli_R/3013.png,arafed drawing of a man swinging a golf club on a white background
children,R,3016.png,../data/children/stimuli_R/3016.png,drawing of a house with a face drawn on it
children,R,3017.png,../data/children/stimuli_R/3017.png,drawing of a piece of paper with a line drawing of a map
children,R,3018.png,../data/children/stimuli_R/3018.png,there is a drawing of a cat on a piece of paper
children,R,3020.png,../data/children/stimuli_R/3020.png,drawing of a pencil drawing of a bottle of water
children,R,3022.png,../data/children/stimuli_R/3022.png,drawing of a vase with a face and a nose
children,R,3023.png,../data/children/stimuli_R/3023.png,drawing of a square with a corner and a line of the corner
children,R,3024.png,../data/children/stimuli_R/3024.png,drawing of a house with a door and a window
children,R,3025.png,../data/children/stimuli_R/3025.png,a drawing of a spider on a wall next to a window
children,R,3026.png,../data/children/stimuli_R/3026.png,drawing of a cartoon face with a broken tooth and a broken toothbrush
children,R,3028.png,../data/children/stimuli_R/3028.png,a drawing of a face with a nose and eyes
children,R,4001.png,../data/children/stimuli_R/4001.png,drawing of a house with a roof and a window
children,R,4002.png,../data/children/stimuli_R/4002.png,drawing of a house with a roof and a chimney
children,R,4003.png,../data/children/stimuli_R/4003.png,a drawing of a cartoon rocket with a face and a nose
children,R,4004.png,../data/children/stimuli_R/4004.png,there is a drawing of a vase with a leaf on it
children,R,4005.png,../data/children/stimuli_R/4005.png,drawing of a tall glass with a handle on a white background
children,R,4006.png,../data/children/stimuli_R/4006.png,drawing of a bird with a piece of wire on its back
children,R,4007.png,../data/children/stimuli_R/4007.png,drawing of a house with a clock on the front of it
children,R,4008.png,../data/children/stimuli_R/4008.png,drawing of a person with a face and arms in a pocket
children,R,4009.png,../data/children/stimuli_R/4009.png,drawing of a plant with a square frame on the top
children,R,4010.png,../data/children/stimuli_R/4010.png,drawing of a man in a top hat and topcoat with a umbrella
children,R,4011.png,../data/children/stimuli_R/4011.png,drawing of a house with a hole in the roof
children,R,4012.png,../data/children/stimuli_R/4012.png,drawing of a toothbrush with a broken tooth on it
children,R,4013.png,../data/children/stimuli_R/4013.png,drawing of a bunch of grapes in a glass vase
children,R,4014.png,../data/children/stimuli_R/4014.png,drawing of a penciled ice cream cone with a leaf on top
children,R,4015.png,../data/children/stimuli_R/4015.png,drawing of a man with a head in a mask
children,R,4016.png,../data/children/stimuli_R/4016.png,a drawing of a shopping bag with a sign that says work
children,R,4017.png,../data/children/stimuli_R/4017.png,drawing of a house with a bicycle and a bicycle in front of it
children,R,4018.png,../data/children/stimuli_R/4018.png,drawing of a kite with a long tail and a long tail
children,R,4019.png,../data/children/stimuli_R/4019.png,drawing of a heart in a square with a line drawing of a face
children,R,4020.png,../data/children/stimuli_R/4020.png,drawing of a house with a tower and a window
children,R,4021.png,../data/children/stimuli_R/4021.png,drawing of a house with a tower on top of it
children,R,4022.png,../data/children/stimuli_R/4022.png,drawing of a man with a beard and a hat with a tie
children,R,4023.png,../data/children/stimuli_R/4023.png,drawing of a house with a window and a door
children,R,4024.png,../data/children/stimuli_R/4024.png,drawing of a house with a window and a door
children,R,4025.png,../data/children/stimuli_R/4025.png,drawing of a man holding a sign with a hand drawn face
children,R,4026.png,../data/children/stimuli_R/4026.png,there is a drawing of a face with a basket in the middle
children,R,5001.png,../data/children/stimuli_R/5001.png,drawing of a robot with a clock on its face
children,R,5002.png,../data/children/stimuli_R/5002.png,drawing of a rocket ship with a small sail on a white surface
children,R,5003.png,../data/children/stimuli_R/5003.png,drawing of a house with a spider web on the roof
children,R,5004.png,../data/children/stimuli_R/5004.png,drawing of a house with a chimney and a chimney top
children,R,5009.png,../data/children/stimuli_R/5009.png,drawing of a boat with a flag on it ' s side
children,R,5010.png,../data/children/stimuli_R/5010.png,there is a drawing of a man standing in the snow
children,R,5011.png,../data/children/stimuli_R/5011.png,drawing of a house with a chimney and a window
children,R,5012.png,../data/children/stimuli_R/5012.png,drawing of a pencil with a design of waves on it
children,R,5018.png,../data/children/stimuli_R/5018.png,drawing of a boat with a sail on the water
children,R,5019.png,../data/children/stimuli_R/5019.png,drawing of a line of houses with a single tree in the middle
