creator,stimuli,image,filepath,blip_caption
AI_prompt2,G,Dalle01.png,../data/AI/prompt_2/stimuli_G/Dalle01.png,a drawing of a bottle of liquid sitting on a shelf
AI_prompt2,G,Dalle02.png,../data/AI/prompt_2/stimuli_G/Dalle02.png,there is a drawing of a drink with a straw in it
AI_prompt2,G,Dalle03.png,../data/AI/prompt_2/stimuli_G/Dalle03.png,drawing of a door and a road with a mountain in the background
AI_prompt2,G,Dalle04.png,../data/AI/prompt_2/stimuli_G/Dalle04.png,a black and white drawing of a house with a cactus plant
AI_prompt2,G,Dalle05.png,../data/AI/prompt_2/stimuli_G/Dalle05.png,a drawing of a shelf with books and a computer on it
AI_prompt2,G,Dalle06.png,../data/AI/prompt_2/stimuli_G/Dalle06.png,drawing of a building with a clock and a man on a slide
AI_prompt2,G,Dalle07.png,../data/AI/prompt_2/stimuli_G/Dalle07.png,a drawing of a room with a window and a lamp
AI_prompt2,G,Dalle08.png,../data/AI/prompt_2/stimuli_G/Dalle08.png,a coloring page of a globe with a bunch of items
AI_prompt2,G,Dalle09.png,../data/AI/prompt_2/stimuli_G/Dalle09.png,a black and white illustration of a garbage can with a trash can in the background
AI_prompt2,G,Dalle10.png,../data/AI/prompt_2/stimuli_G/Dalle10.png,a drawing of a pineapple with a basket of fruit on it
AI_prompt2,G,Dalle11.png,../data/AI/prompt_2/stimuli_G/Dalle11.png,a drawing of a cat sitting in a mirror with a cat on a bike
AI_prompt2,G,Dalle12.png,../data/AI/prompt_2/stimuli_G/Dalle12.png,a drawing of a small arch with a door and a window
AI_prompt2,G,Dalle13.png,../data/AI/prompt_2/stimuli_G/Dalle13.png,a drawing of a sandwich with a knife and fork on a plate
AI_prompt2,G,Dalle14.png,../data/AI/prompt_2/stimuli_G/Dalle14.png,a drawing of a small house with a door and a window
AI_prompt2,G,Dalle15.png,../data/AI/prompt_2/stimuli_G/Dalle15.png,cartoon drawing of a man sleeping in a hamster wheel
AI_prompt2,G,Dalle16.png,../data/AI/prompt_2/stimuli_G/Dalle16.png,a drawing of a table with a vase and a chair
AI_prompt2,G,Dalle17.png,../data/AI/prompt_2/stimuli_G/Dalle17.png,a black and white drawing of a house with a cactus plant
AI_prompt2,G,Dalle18.png,../data/AI/prompt_2/stimuli_G/Dalle18.png,a drawing of a fish in a bowl with a plant in it
AI_prompt2,G,Dalle19.png,../data/AI/prompt_2/stimuli_G/Dalle19.png,a cartoon train with a bunch of items on the tracks
AI_prompt2,G,Dalle20.png,../data/AI/prompt_2/stimuli_G/Dalle20.png,a drawing of a window with a lamp and a plant in a pot
AI_prompt2,G,Dalle21.png,../data/AI/prompt_2/stimuli_G/Dalle21.png,"a drawing of a kitchen with a refrigerator, coffee cup, and other items"
AI_prompt2,G,Dalle22.png,../data/AI/prompt_2/stimuli_G/Dalle22.png,a drawing of a house with a magnifying glass over it
AI_prompt2,G,Dalle23.png,../data/AI/prompt_2/stimuli_G/Dalle23.png,a drawing of a door with a bamboo plant in the corner
AI_prompt2,G,Dalle24.png,../data/AI/prompt_2/stimuli_G/Dalle24.png,a drawing of two beds with a table and chairs in the middle
AI_prompt2,G,Dalle25.png,../data/AI/prompt_2/stimuli_G/Dalle25.png,a drawing of a bird cage with a bird inside of it
AI_prompt2,G,Dalle26.png,../data/AI/prompt_2/stimuli_G/Dalle26.png,a drawing of a building with a door and windows
AI_prompt2,G,Dalle27.png,../data/AI/prompt_2/stimuli_G/Dalle27.png,a drawing of a tent with a window and a door
AI_prompt2,G,Dalle28.png,../data/AI/prompt_2/stimuli_G/Dalle28.png,a drawing of a tent with a bed and a chair
AI_prompt2,G,Dalle29.png,../data/AI/prompt_2/stimuli_G/Dalle29.png,a drawing of a small house with a cross on the front
AI_prompt2,G,Dalle30.png,../data/AI/prompt_2/stimuli_G/Dalle30.png,a drawing of a bed with a rail and a pillow
AI_prompt2,G,Dalle31.png,../data/AI/prompt_2/stimuli_G/Dalle31.png,there is a drawing of a coffee cup with a cactus in it
AI_prompt2,G,Dalle32.png,../data/AI/prompt_2/stimuli_G/Dalle32.png,a drawing of a bird in a cage with a door open
AI_prompt2,G,Dalle33.png,../data/AI/prompt_2/stimuli_G/Dalle33.png,a drawing of a window with a bird flying over it
AI_prompt2,G,Dalle34.png,../data/AI/prompt_2/stimuli_G/Dalle34.png,a black and white drawing of a bus on a road
AI_prompt2,G,Dalle35.png,../data/AI/prompt_2/stimuli_G/Dalle35.png,"a drawing of a kitchen with a sink, refrigerator and a trash can"
AI_prompt2,G,Dalle36.png,../data/AI/prompt_2/stimuli_G/Dalle36.png,coloring pages of a toaster with a slice of cheese in it
AI_prompt2,G,Dalle37.png,../data/AI/prompt_2/stimuli_G/Dalle37.png,a drawing of a clock with a toothbrush and a toothbrush in it
AI_prompt2,G,Dalle38.png,../data/AI/prompt_2/stimuli_G/Dalle38.png,"a drawing of a shelf with a book, a vase, and a picture"
AI_prompt2,G,Dalle39.png,../data/AI/prompt_2/stimuli_G/Dalle39.png,a drawing of a bed with a window and a door
AI_prompt2,G,Dalle40.png,../data/AI/prompt_2/stimuli_G/Dalle40.png,a black and white drawing of a circular object with a square in the middle
AI_prompt2,G,Dalle41.png,../data/AI/prompt_2/stimuli_G/Dalle41.png,a drawing of a clock with a box and a cup of coffee
