creator,stimuli,filepath,gpt_caption
adults,I,../data/adults/stimuli_I/103__3833_11.jpg,A dome-shaped robot with buttons or lights and a central screen. [4]
adults,I,../data/adults/stimuli_I/110__3847_11.jpg,A domed building with columns and a flag on top. [4]
adults,I,../data/adults/stimuli_I/113__3869_11.jpg,"Container with the word ""PAINT"" written on it. [5]"
adults,I,../data/adults/stimuli_I/138__5326_11.jpg,"Stick figure under a dome or arch, surrounded by lines. [4]"
adults,I,../data/adults/stimuli_I/140__3911_11.jpg,Cartoonish figure resembling a fish with a large head and small fins. [4]
adults,I,../data/adults/stimuli_I/157__3923_11.jpg,"Abstract lines and shapes, possibly geometric and organic forms. [4]"
adults,I,../data/adults/stimuli_I/1621__1234_11.jpg,"Three abstract, bird-like figures of varying sizes in a simplistic style. [4]"
adults,I,../data/adults/stimuli_I/1622__7240_11.jpg,A semicircular arch with overlapping lines inside a rectangular base. [3]
adults,I,../data/adults/stimuli_I/1626__1257_11.jpg,Person standing at a window with another person inside. [4]
adults,I,../data/adults/stimuli_I/1663__1267_11.jpg,Building sketch with a dome and a rectangular entrance. [4]
adults,I,../data/adults/stimuli_I/1664__1277_11.jpg,A winter hat with a pom-pom on top. [5]
adults,I,../data/adults/stimuli_I/1665__362_11.jpg,A simple building with a dome and cross on top. [4]
adults,I,../data/adults/stimuli_I/1666__1296_11.jpg,Hard to interpret. [1]
adults,I,../data/adults/stimuli_I/1667__1308_11.jpg,Castle with a drawbridge leading to the main entrance. [5]
adults,I,../data/adults/stimuli_I/1675__9726_11.jpg,Hard to interpret. [2]
adults,I,../data/adults/stimuli_I/1676__9738_11.jpg,"A simple drawing of a backpack labeled ""book bag"". [5]"
adults,I,../data/adults/stimuli_I/16__3474_11.jpg,Ghost-like figure with two large eyes and a jagged bottom. [5]
adults,I,../data/adults/stimuli_I/1740__1330_11.jpg,A simple sketch of a light bulb with wires. [4]
adults,I,../data/adults/stimuli_I/1741__1338_11.jpg,A simplistic drawing of a person with a round head and straight body. [3]
adults,I,../data/adults/stimuli_I/1743__1356_11.jpg,Simple outline resembling a popsicle or ice cream on a stick. [4]
adults,I,../data/adults/stimuli_I/1744__1366_11.jpg,Hard to interpret. [2]
adults,I,../data/adults/stimuli_I/1748__1376_11.jpg,A lock with crisscross lines inside a rectangular shape. [4]
adults,I,../data/adults/stimuli_I/1749__381_11.jpg,A robot with an antenna and brain inside a dome head. [5]
adults,I,../data/adults/stimuli_I/174__3968_11.jpg,Two people sitting at a table under a lamp. [4]
adults,I,../data/adults/stimuli_I/1750__1389_11.jpg,A simple padlock with a straight shackle and square body. [5]
adults,I,../data/adults/stimuli_I/1751__1401_11.jpg,Simple outline of a building with a circular window and an arched door. [4]
adults,I,../data/adults/stimuli_I/1753__1412_11.jpg,Box with nuclear symbol and structure on top. [4]
adults,I,../data/adults/stimuli_I/1755__1421_11.jpg,Person sitting at a table with papers in front. [5]
adults,I,../data/adults/stimuli_I/180__4002_11.jpg,A closed door with some abstract shapes in front. [3]
adults,I,../data/adults/stimuli_I/181__5395_11.jpg,Cat-like face with pointy ears and a rounded top. [4]
adults,I,../data/adults/stimuli_I/182__5407_11.jpg,A building with a dome and a cross on top. [4]
adults,I,../data/adults/stimuli_I/183__5419_11.jpg,A semi-circle with lines above a rectangle shape. [4]
adults,I,../data/adults/stimuli_I/197__5471_11.jpg,A simple building with a dome and flag on top. [4]
adults,I,../data/adults/stimuli_I/203__4074_11.jpg,A house with a round roof and two windows. [5]
adults,I,../data/adults/stimuli_I/21__3509_11.jpg,"A building with a cross on top, possibly a church. [4]"
adults,I,../data/adults/stimuli_I/223__4144_11.jpg,Cartoon face with a hat and sticking out tongue. [4]
adults,I,../data/adults/stimuli_I/242__4168_11.jpg,Simple house with a dome-shaped roof and a door. [4]
adults,I,../data/adults/stimuli_I/247__4180_11.jpg,A robot with flexible arms and a screen on its body. [5]
adults,I,../data/adults/stimuli_I/259__4204_11.jpg,Hard to interpret. [1]
adults,I,../data/adults/stimuli_I/263__7334_11.jpg,A hanging lamp above a simple table. [4]
adults,I,../data/adults/stimuli_I/265__5605_11.jpg,A simple robot-like character with a boxy body and rounded head. [4]
