pid,creator,age,stimuli,inverted,filename,filepath,blip_caption,blip_caption_correct,gpt_caption,gpt_caption_correct,gpt_caption_confidence,originality_audra,originality_ocs,percentile_ocs,category1,category2,category3,confidence,creativity,creativity2,used_mask,line_thickness,ink_density,ink_fraction_inside_mask,number_of_components,number_of_lines,dist_from_base_caption_gtelarge,dist_from_base_caption_gte,dist_from_base_caption_stella,dist_from_base_shape_dino,dist_from_base_shape_clip,text_10NN_gtelarge,image_10NN_dino,image_10NN_clip,inverse_category_frequency,inverse_cluster_frequency_gtelarge
1001,children,5.0,G,TRUE,1001.png,../data/children/stimuli_G/1001.png,drawing of a person with a crown on their head,,"Child's drawing of person wearing a crown, with a heart shape nearby",,5,0.6645839214324950,0.72,93.0,princess,heart,writing,2.0,3.0,3,0.5,10.556159173136300,42.17,0.542837559972584,5,148,0.166164611761707,0.3296152153496510,0.4059060457888860,0.8371714696561830,0.5282315946098690,0.15164076,0.26069576,0.33617306,49.333333333333300,9.818181818181820
1002,children,5.0,G,FALSE,1002.png,../data/children/stimuli_G/1002.png,drawing of a mushroom with a man and a woman on it,,Crying mushroom with a sad face and teardrops,,5,0.614554762840271,0.58,68.0,creature/monster,circles,frown,2.0,2.0,2,1,5.384619255302360,6.4575,0.8983789015243160,9,5,0.1900828367422310,0.2678951402871350,0.4599766731262210,0.7394956028129900,0.3416195465297420,0.12107836,0.13501963,0.13988134,7.4,6.352941176470590
1003,children,5.0,G,TRUE,1003.png,../data/children/stimuli_G/1003.png,drawing of a boat with a tower on top of it,,"A ship with a face and chimney, alongside a person with antennae",,4,0.6715897917747500,0.74,95.0,princess,house,flowers,2.0,4.0,4,1,5.163225935249140,13.264375,0.3781518624641830,14,24,0.2075846318951020,0.4017072737725750,0.4617111682891850,0.7593243719256190,0.371121390117231,0.15759096,0.22743157,0.17685068,49.333333333333300,10.8
1004,children,4.0,G,TRUE,1004.png,../data/children/stimuli_G/1004.png,drawing of a man with a face drawn on it,,Cartoonish face with large eyes and a smiling mouth,,4,0.4283843636512760,0.52,51.0,(smiley) face,,,2.0,1.0,1,1,3.868897990196700,2.7550000000000000,0.8434782608695650,4,6,0.2061498165130620,0.3037822842597960,0.5046663284301760,0.5494524958243250,0.2811838804933800,0.08096619,0.24104539,0.17937297,16.444444444444400,4.153846153846150
1005,children,4.0,G,TRUE,1005.png,../data/children/stimuli_G/1005.png,drawing of a bird on a vase with a bird on top,,Abstract face with a rectangular head and curvy body shape,,3,0.5331709384918210,0.55,60.0,(smiley) face,,,2.0,1.0,1,1,4.314182640119880,4.128125,0.8455913978494620,3,5,0.1900622248649600,0.3437361130478460,0.4922037124633790,0.5906343542624030,0.3142999554202460,0.1050989,0.21995282,0.17112996,16.444444444444400,4.153846153846150
1006,children,5.0,G,FALSE,1006.png,../data/children/stimuli_G/1006.png,there is a drawing of a bunch of flowers on a white paper,,Hard to interpret,,2,0.7669975757598880,0.53,55.0,abstract doodle/hard to interpret,,,2.0,0.0,2,0.5,4.541386066664130,27.289375,0.5892677948805170,3,163,0.2484450936317440,0.4582867895535690,0.6282051801681520,0.8364819427806710,0.3119136639390190,0.0,0.37502366,0.14027278,3.217391304347830,2.6341463414634100
1007,children,5.0,G,TRUE,1007.png,../data/children/stimuli_G/1007.png,drawing of a bird flying over a house with a kite,,House-like shape with windows and a cloud or tree nearby,,4,0.6638455986976620,0.62,78.0,house,flower,door,1.0,2.0,4,1,4.469588350761330,9.184375,0.7382475660639780,3,22,0.1651362678327390,0.3465726387416670,0.3868507146835330,0.7422200807422810,0.3289364549055290,0.12219809,0.24738844,0.15271589,37.0,15.428571428571400
1008,children,7.0,G,TRUE,1008.png,../data/children/stimuli_G/1008.png,a drawing of a man with a sad face and a tie,,"Smiling face with large eyes and curly hair, simple line drawing",,4,0.5598562955856320,0.54,58.0,(smiley) face,ears,hair,2.0,3.0,4,1,4.780934636936260,10.65625,0.3571066846725190,8,18,0.1501728206769920,0.2602301395076580,0.3916176557540890,0.7653216676474110,0.2889173007774090,0.105744496,0.2208477,0.13128024,16.444444444444400,4.153846153846150
1009,children,6.0,G,TRUE,1009.png,../data/children/stimuli_G/1009.png,drawing of a boat with a flag and a flag pole,,A person on a boat with an anchor in the sea,,5,0.7029218673706060,0.75,95.0,person(s),boat,music,2.0,3.0,3,1,4.921214980757250,14.695625,0.4874632934267000,11,57,0.2222472296805830,0.46157108132753,0.5625525116920470,0.7770092732453860,0.3517913029142160,0.18627426,0.32570276,0.2025909,8.705882352941180,10.8
1010,children,4.0,G,TRUE,1010.png,../data/children/stimuli_G/1010.png,a drawing of a girl in a dress with a bow,,"Smiling person with long hair, wearing a dress with heart and patterns",,5,0.6369449496269230,0.65,83.0,person,heart,hair,2.0,3.0,4,1,7.921494780682860,13.548750000000000,0.6920446586742470,3,15,0.2225509153276120,0.4782578789668640,0.5928653059263620,0.7335634965894320,0.381406949401908,0.1512973,0.22182484,0.18431719,8.705882352941180,10.8
