creator,stimuli,filepath,gpt_caption
children,G,../data/children/stimuli_G/1001.png,"Child's drawing of person wearing a crown, with a heart shape nearby. [5]"
children,G,../data/children/stimuli_G/1002.png,Crying mushroom with a sad face and teardrops. [5]
children,G,../data/children/stimuli_G/1003.png,"A ship with a face and chimney, alongside a person with antennae. [4]"
children,G,../data/children/stimuli_G/1004.png,Cartoonish face with large eyes and a smiling mouth. [4]
children,G,../data/children/stimuli_G/1005.png,Abstract face with a rectangular head and curvy body shape. [3]
children,G,../data/children/stimuli_G/1006.png,Hard to interpret [2].
children,G,../data/children/stimuli_G/1007.png,House-like shape with windows and a cloud or tree nearby. [4]
children,G,../data/children/stimuli_G/1008.png,"Smiling face with large eyes and curly hair, simple line drawing. [4]"
children,G,../data/children/stimuli_G/1009.png,A person on a boat with an anchor in the sea. [5]
children,G,../data/children/stimuli_G/1010.png,"Smiling person with long hair, wearing a dress with heart and patterns. [5]"
children,G,../data/children/stimuli_G/1011.png,"A figure with a round body, rectangle arms, and a face with spikes. [4]"
children,G,../data/children/stimuli_G/1012.png,Hard to interpret. [2]
children,G,../data/children/stimuli_G/1013.png,A house with two figures and a cat in a window. [5]
children,G,../data/children/stimuli_G/1014.png,"Humanoid figure with a round body, smiling face, and extended arms. [4]"
children,G,../data/children/stimuli_G/1015.png,Abstract sketch resembling a crab-like creature with geometric patterns. [3]
children,G,../data/children/stimuli_G/1016.png,Drawing of a mushroom with a textured cap and straight stem. [5]
children,G,../data/children/stimuli_G/1017.png,A simple stick figure with a smiley face and outstretched arms. [4]
children,G,../data/children/stimuli_G/1018.png,Hard to interpret. [2]
children,G,../data/children/stimuli_G/1019.png,Hard to interpret. [1]
children,G,../data/children/stimuli_G/1020.png,A simple mushroom drawing with three spots on its cap. [5]
children,G,../data/children/stimuli_G/1022.png,Hard to interpret. [1]
children,G,../data/children/stimuli_G/1023.png,Umbrella over abstract face with squiggly lines above. [3]
children,G,../data/children/stimuli_G/1024.png,Hard to interpret. [3]
children,G,../data/children/stimuli_G/1025.png,Balls in a net with two parallel vertical lines above. [4]
children,G,../data/children/stimuli_G/1026.png,Abstract shape with spiral text beneath; possibly a robot or figure. [2]
children,G,../data/children/stimuli_G/1027.png,Hard to interpret. [2]
children,G,../data/children/stimuli_G/1028.png,"Face with big eyes and a wide, striped, semi-circular shape. [4]"
children,G,../data/children/stimuli_G/1029.png,Hard to interpret. [1]
children,G,../data/children/stimuli_G/2001.png,Hard to interpret. [3]
children,G,../data/children/stimuli_G/2002.png,Simple drawing resembling a mushroom with a stem and spots. [4]
children,G,../data/children/stimuli_G/2003.png,Abstract drawing with heart shape in mushroom-like outline. [3]
children,G,../data/children/stimuli_G/2004.png,Hard to interpret. [2]
children,G,../data/children/stimuli_G/2009.png,Simple line drawing of a mushroom. [5]
children,G,../data/children/stimuli_G/2010.png,Simple mushroom shape with lines on the cap. [5]
children,G,../data/children/stimuli_G/2011.png,Hard to interpret. [2]
children,G,../data/children/stimuli_G/2012.png,Hard to interpret. [2]
children,G,../data/children/stimuli_G/2013.png,"Smiling figure with a round body, arms, and legs. [4]"
children,G,../data/children/stimuli_G/2014.png,Mushroom with spots and a rectangular base. [4]
children,G,../data/children/stimuli_G/2015.png,Hard to interpret. [2]
children,G,../data/children/stimuli_G/2016.png,Hard to interpret. [2]
children,G,../data/children/stimuli_G/2017.png,"Boat with chimneys, rainbow, and smiley face above water. [4]"
children,G,../data/children/stimuli_G/2018.png,Abstract shape with a semicircular top and straight lines below. [4]
children,G,../data/children/stimuli_G/3001.png,Hard to interpret. [1]
children,G,../data/children/stimuli_G/3002.png,Hard to interpret. [2]
children,G,../data/children/stimuli_G/3005.png,Stick figure holding an umbrella and appearing to be surprised. [4]
children,G,../data/children/stimuli_G/3007.png,Mushroom-like shape with sketchy background and foreground elements. [3]
children,G,../data/children/stimuli_G/3008.png,"Humanoid figure with round body, long neck, and smiling face. [4]"
children,G,../data/children/stimuli_G/3009.png,"A rectangle and a large, curved, sharp-toothed smile. [3]"
children,G,../data/children/stimuli_G/3010.png,"Three faces in a boat shape with ""LOL"" written below. [4]"
children,G,../data/children/stimuli_G/3011.png,Three people on a boat under the moon. [4]
children,G,../data/children/stimuli_G/3013.png,"Cartoonish figure with large hat, smiling face, and outstretched arms. [3]"
children,G,../data/children/stimuli_G/3016.png,Circle with a square inside it. [5]
children,G,../data/children/stimuli_G/3017.png,Outline of an abstract shape resembling a mushroom with geometric features. [3]
