pid,creator,age,stimuli,inverted,filename,filepath,blip_caption,blip_caption_correct,gpt_caption,gpt_caption_correct,gpt_caption_confidence,originality_audra,originality_ocs,percentile_ocs,category1,category2,category3,confidence,creativity,creativity2,used_mask,line_thickness,ink_density,ink_fraction_inside_mask,number_of_components,number_of_lines,dist_from_base_caption_gtelarge,dist_from_base_caption_gte,dist_from_base_caption_stella,dist_from_base_shape_dino,dist_from_base_shape_clip,text_10NN_gtelarge,image_10NN_dino,image_10NN_clip,inverse_category_frequency,inverse_cluster_frequency_gtelarge
16,adults,,G,FALSE,16__3473_9.jpg,../data/adults/stimuli_G/16__3473_9.jpg,a drawing of a bat and a pencil on a white background,,Abstract object resembling a bow and arrow,,3,0.65917319059372,0.68,88.0,abstract doodle/hard to interpret,arrow,,1,2,2,1,4.72435082024414,5.899375,0.885403624382208,1,13,0.1623292371834170,0.3365871510855630,0.4117859601974490,0.6511957901914820,0.2524700149030560,0.14234106,0.42418098,0.1996733,4.774193548387100,6.090909090909090
21,adults,,G,FALSE,21__3508_9.jpg,../data/adults/stimuli_G/21__3508_9.jpg,a drawing of a mushroom with a black outline on a white background,,A simple drawing of a mushroom with spots on the cap,,5,0.317512392997742,0.31,3.0,mushroom,,,2,2,2,1,4.24076026882029,3.63375,0.861991434689508,6,9,0.1243004650711400,0.2022645235736520,0.2674089074134830,0.6107079149080670,0.2558053724812360,0.036501657,0.13167295,0.059873413,5.6923076923076900,7.882352941176470
26,adults,,G,FALSE,26__3553_9.jpg,../data/adults/stimuli_G/26__3553_9.jpg,a drawing of a basketball court with a basketball hoop and a basketball hoop,,Hard to interpret,,2,0.505171418190002,0.57,64.0,person(s),sun,water,1,1,0,0.5,4.40652208230564,2.905625,0.730815267987764,2,10,0.2484451532363890,0.4582867460932360,0.628205202328848,0.4802586824800770,0.2845642290490880,0.0,0.32304507,0.22049029,7.7894736842105300,9.571428571428570
27,adults,,G,FALSE,27__3565_9.jpg,../data/adults/stimuli_G/27__3565_9.jpg,a black and white drawing of a crab with a box in its paws,,A crab with claws and legs in a simplistic drawing style,,5,0.694213211536408,0.67,87.0,face,,,2,3,4,1,4.43910574751428,5.36625,0.944500504540868,1,7,0.1477184803653650,0.2756499648094180,0.3790630102157590,0.638764830512393,0.3220765872930490,0.13962945,0.40393987,0.2533378,21.142857142857100,16.75
32,adults,,G,FALSE,32__3577_9.jpg,../data/adults/stimuli_G/32__3577_9.jpg,a drawing of a mushroom with a long stem on a white background,,Simple silhouette outline of a mushroom shape,,5,0.140106156468391,0.21,0.0,tracing,,,2,20,0,1,3.6992267635997,1.796875,0.823337178008458,1,8,0.0978777408599853,0.2177179352388890,0.2857588529586790,0.3865733500808240,0.1553498623748790,0.06376426,0.21847066,0.12747309,24.666666666666700,7.882352941176470
44,adults,,G,FALSE,44__3661_9.jpg,../data/adults/stimuli_G/44__3661_9.jpg,a drawing of a mushroom with a hat on it,,"Person wearing a large hat with text ""identify yourself"" written beside",,4,0.661190688610077,0.68,88.0,creature(s),writing,,1,1,1,0.5,4.86035140098777,7.7775,0.384451219512195,3,15,0.2128473393412020,0.4578776197993040,0.5833887110120820,0.623194214368062,0.3373746387455510,0.16308072,0.21469733,0.2295847,21.142857142857100,7.444444444444450
46,adults,,G,FALSE,46__3684_9.jpg,../data/adults/stimuli_G/46__3684_9.jpg,cartoon drawing of a person holding a knife and a umbrella,,A mushroom with a rectangular stem on a surface,,4,0.360141307115555,0.46,37.0,mushroom,,,2,1,2,1,4.8421348264779,6.49875,0.424895904542912,5,14,0.1610029243825110,0.277860917981294,0.4323083500678320,0.6844048317480320,0.2857628128525870,0.08888688,0.3586837,0.0957485,5.6923076923076900,6.7
62,adults,,G,FALSE,62__3706_9.jpg,../data/adults/stimuli_G/62__3706_9.jpg,a drawing of a person with a cat on their back,,"A round-bodied creature with a tail, two legs, and two arms",,4,0.617157459259033,0.66,85.0,creature(s),,,2,2,3,1,4.78656105556051,7.47375,0.518585441404233,8,13,0.2085063457489010,0.3872214373118110,0.4883112754914540,0.6084681653081020,0.3601248037608090,0.1501315,0.26157457,0.19080658,21.142857142857100,16.75
66,adults,,G,FALSE,66__3730_9.jpg,../data/adults/stimuli_G/66__3730_9.jpg,a drawing of a ladder leading to a beach with a sun in the background,,Sun over ocean waves with a ladder from the water,,3,0.591598689556122,0.62,78.0,sunset,beach,pier,2,3,2,1,4.66451954832474,10.646875,0.49859627374485,10,29,0.203241229057312,0.4355437846967960,0.5153824090957640,0.7941132909235910,0.3077234781193610,0.15627,0.4009667,0.1678198,74.0,22.333333333333300
85,adults,,G,FALSE,85__3786_9.jpg,../data/adults/stimuli_G/85__3786_9.jpg,a drawing of a tombstone with a sign that says rip me,,"Tombstone with ""R.I.P"" and ""ME"" written on it",,5,0.58507764339447,0.55,60.0,grave,writing,,2,2,2,1,4.33034505564412,4.285,0.771314116520073,7,11,0.2400177490716500,0.4810521293313570,0.5955115556716920,0.5499463146797720,0.3557931817683980,0.20413294,0.25109106,0.2594275,148.0,6.090909090909090
103,adults,,G,FALSE,103__3832_9.jpg,../data/adults/stimuli_G/103__3832_9.jpg,a drawing of a man with his arms outstretched out,,Simple humanoid figure with a round head and rectangular body,,4,0.534893453121185,0.52,51.0,person(s),,,2,2,3,1,4.45652356027232,4.640625,0.675642393892127,2,8,0.1760029792785640,0.3485869973055710,0.4322035651085630,0.6364949908754350,0.3036191050810190,0.101895094,0.20993292,0.09772816,7.7894736842105300,16.75
110,adults,,G,FALSE,110__3846_9.jpg,../data/adults/stimuli_G/110__3846_9.jpg,a drawing of a person holding an umbrella with the word ' m ' drawn on it,,A person underneath an umbrella with rain falling,,5,0.339922517538071,0.39,21.0,umbrella,rain,,1,2,2,1,3.948025851764,3.076875,0.728962710372896,8,4,0.1970456125112990,0.4170743301875270,0.4835134744644170,0.6024336016668300,0.2252571453425010,0.1105632,0.26385212,0.11599584,8.222222222222220,10.307692307692300
